strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,avg_R,total_return_pct,cagr_pct,max_dd_pct,mar,sharpe,max_loss_streak,best_R,worst_R,avg_bars,end_equity
ema_williams,1h,full,ideal,2495,44.4,1.18,0.091,0.09,682.6,10.0,-17.9,0.56,1.0,13,3.39,-1.0,29.4,78257.0
ema_williams,1h,full,realistic,2495,43.7,1.09,0.048,0.05,168.1,4.7,-26.7,0.17,0.53,15,3.23,-1.47,29.4,26812.0
ema_williams,1h,full,pessimistic,2495,43.2,1.03,0.022,0.02,39.0,1.5,-34.0,0.05,0.23,15,3.12,-1.76,29.4,13902.0
ema_williams,1h,IS_2004_2018,ideal,1672,45.3,1.18,0.091,0.09,292.0,9.8,-17.9,0.55,1.0,13,3.39,-1.0,29.4,39196.0
ema_williams,1h,IS_2004_2018,realistic,1672,44.7,1.07,0.04,0.04,68.2,3.6,-26.7,0.14,0.43,15,3.23,-1.47,29.4,16819.0
ema_williams,1h,IS_2004_2018,pessimistic,1672,44.1,1.0,0.008,0.01,1.2,0.1,-34.0,0.0,0.08,15,3.12,-1.76,29.4,10117.0
ema_williams,1h,OOS_2019_2026,ideal,820,42.7,1.18,0.093,0.09,92.3,9.7,-15.4,0.63,0.99,12,2.84,-1.0,29.5,19230.0
ema_williams,1h,OOS_2019_2026,realistic,820,41.7,1.13,0.066,0.07,57.6,6.6,-18.0,0.37,0.71,12,2.81,-1.11,29.5,15758.0
ema_williams,1h,OOS_2019_2026,pessimistic,820,41.5,1.09,0.049,0.05,36.9,4.5,-20.4,0.22,0.52,12,2.8,-1.18,29.5,13695.0
ema_williams,4h,full,ideal,651,45.2,1.2,0.115,0.12,88.3,3.0,-13.8,0.21,0.6,7,2.3,-1.0,29.4,18826.0
ema_williams,4h,full,realistic,651,44.9,1.16,0.096,0.1,68.2,2.4,-14.8,0.16,0.5,7,2.28,-1.12,29.4,16822.0
ema_williams,4h,full,pessimistic,651,44.9,1.13,0.083,0.08,54.0,2.0,-17.2,0.12,0.42,7,2.27,-1.19,29.4,15398.0
ema_williams,4h,IS_2004_2018,ideal,432,46.8,1.31,0.151,0.15,78.7,4.1,-7.7,0.53,0.8,7,2.22,-1.0,30.2,17873.0
ema_williams,4h,IS_2004_2018,realistic,432,46.3,1.25,0.128,0.13,62.3,3.4,-8.8,0.39,0.68,7,2.2,-1.12,30.2,16228.0
ema_williams,4h,IS_2004_2018,pessimistic,432,46.3,1.23,0.114,0.11,54.8,3.0,-9.8,0.31,0.62,7,2.19,-1.19,30.2,15476.0
ema_williams,4h,OOS_2019_2026,ideal,219,41.6,0.98,0.033,0.03,-2.3,-0.3,-12.3,-0.03,-0.03,7,2.3,-1.0,27.6,9768.0
ema_williams,4h,OOS_2019_2026,realistic,219,41.6,0.95,0.02,0.02,-4.8,-0.7,-14.3,-0.05,-0.11,7,2.28,-1.04,27.6,9516.0
ema_williams,4h,OOS_2019_2026,pessimistic,219,41.6,0.93,0.012,0.01,-6.6,-1.0,-15.0,-0.06,-0.16,7,2.27,-1.07,27.6,9337.0
ema_williams,1d,full,ideal,104,54.8,1.88,0.315,0.31,33.1,1.3,-3.8,0.35,0.64,4,2.18,-1.0,30.5,13315.0
ema_williams,1d,full,realistic,104,54.8,1.82,0.307,0.31,30.9,1.3,-4.3,0.29,0.61,4,2.17,-1.03,30.5,13086.0
ema_williams,1d,full,pessimistic,104,54.8,1.8,0.302,0.3,30.4,1.2,-4.4,0.28,0.6,4,2.16,-1.04,30.5,13040.0
ema_williams,1d,IS_2004_2018,ideal,68,50.0,1.29,0.167,0.17,7.7,0.5,-3.8,0.13,0.29,4,2.18,-1.0,31.7,10774.0
ema_williams,1d,IS_2004_2018,realistic,68,50.0,1.19,0.157,0.16,5.1,0.3,-4.3,0.08,0.2,4,2.17,-1.03,31.7,10509.0
ema_williams,1d,IS_2004_2018,pessimistic,68,50.0,1.17,0.152,0.15,4.8,0.3,-4.4,0.07,0.19,4,2.16,-1.04,31.7,10475.0
ema_williams,1d,OOS_2019_2026,ideal,36,61.1,3.35,0.558,0.56,24.5,3.1,-2.5,1.25,1.17,3,2.07,-1.0,27.3,12447.0
ema_williams,1d,OOS_2019_2026,realistic,36,61.1,3.32,0.552,0.55,24.3,3.1,-2.5,1.23,1.16,3,2.06,-1.01,27.3,12428.0
