strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,total_return_pct,cagr_pct,max_dd_pct,mar,max_loss_streak
ema_williams,15m,full,ideal,10345,42.3,1.07,0.058,18362.8,27.3,-37.8,0.72,18
ema_williams,15m,full,realistic,10345,41.2,0.88,-0.034,-90.6,-10.3,-99.6,-0.1,18
ema_williams,15m,full,pessimistic,10345,40.3,0.78,-0.091,-117.8,0.0,-125.3,0.0,18
ema_williams,15m,IS,realistic,6929,41.0,0.85,-0.041,-93.3,-17.0,-93.9,-0.18,18
ema_williams,15m,OOS,realistic,3414,41.4,0.95,-0.018,-58.1,-11.6,-69.5,-0.17,18
ema_williams,30m,full,ideal,5055,41.8,1.06,0.048,650.8,9.8,-35.1,0.28,11
ema_williams,30m,full,realistic,5055,41.0,0.96,-0.015,-58.6,-4.0,-69.7,-0.06,11
ema_williams,30m,full,pessimistic,5055,40.5,0.88,-0.054,-88.2,-9.4,-98.5,-0.1,15
ema_williams,30m,IS,realistic,3371,41.2,0.96,-0.014,-49.9,-4.6,-51.6,-0.09,11
ema_williams,30m,OOS,realistic,1684,40.4,0.95,-0.017,-30.7,-5.0,-44.1,-0.11,11
ema_williams,1h,full,ideal,2495,44.4,1.18,0.091,682.6,10.0,-17.9,0.56,13
ema_williams,1h,full,realistic,2495,43.7,1.09,0.048,168.1,4.7,-26.7,0.17,15
ema_williams,1h,full,pessimistic,2495,43.2,1.03,0.022,39.0,1.5,-34.0,0.05,15
ema_williams,1h,IS,realistic,1672,44.7,1.07,0.04,68.2,3.6,-26.7,0.14,15
ema_williams,1h,OOS,realistic,820,41.7,1.13,0.066,57.6,6.6,-18.0,0.37,12
pullback,15m,full,ideal,8869,37.9,1.02,0.022,242.8,5.9,-73.5,0.08,19
pullback,15m,full,realistic,8869,37.2,0.03,-1.073,-8322.5,0.0,-8089.3,0.0,19
pullback,15m,full,pessimistic,8869,36.7,0.02,-1.754,-12189.6,0.0,-12196.9,0.0,19
pullback,15m,IS,realistic,5898,37.2,0.02,-1.575,-8318.0,0.0,-8077.0,0.0,15
pullback,15m,OOS,realistic,2970,37.2,0.8,-0.079,-87.5,-25.5,-96.1,-0.26,19
pullback,30m,full,ideal,4348,38.2,1.19,0.083,1128.7,12.3,-45.2,0.27,17
pullback,30m,full,realistic,4348,37.9,0.9,-0.002,-68.4,-5.2,-90.9,-0.06,17
pullback,30m,full,pessimistic,4348,37.7,0.76,-0.054,-99.6,-22.3,-101.7,-0.22,17
pullback,30m,IS,realistic,2890,37.3,0.84,-0.06,-85.2,-12.3,-86.8,-0.14,17
pullback,30m,OOS,realistic,1458,38.9,1.14,0.109,123.5,12.0,-42.4,0.28,15
pullback,1h,full,ideal,2152,38.8,1.04,0.037,80.8,2.8,-38.1,0.07,16
pullback,1h,full,realistic,2152,38.4,0.95,-0.02,-44.5,-2.7,-51.0,-0.05,16
pullback,1h,full,pessimistic,2152,38.2,0.88,-0.056,-76.2,-6.4,-76.2,-0.08,16
pullback,1h,IS,realistic,1437,39.2,0.98,-0.001,-11.6,-0.8,-35.5,-0.02,16
pullback,1h,OOS,realistic,714,36.4,0.85,-0.065,-41.7,-7.3,-43.9,-0.17,15
donchian,15m,full,ideal,48899,63.9,0.87,0.001,-131.2,0.0,-119.7,0.0,8
donchian,15m,full,realistic,48899,57.8,0.67,-0.146,-338.0,0.0,-261.3,0.0,13
donchian,15m,full,pessimistic,48899,51.1,0.57,-0.238,-448.1,0.0,-349.1,0.0,30
donchian,15m,IS,realistic,31266,55.3,0.6,-0.168,-266.3,0.0,-210.8,0.0,13
donchian,15m,OOS,realistic,17615,62.2,0.7,-0.108,-160.3,0.0,-164.5,0.0,8
donchian,30m,full,ideal,24910,63.9,1.0,0.007,98.7,3.2,-80.7,0.04,13
donchian,30m,full,realistic,24910,61.2,0.75,-0.089,-179.7,0.0,-185.4,0.0,13
donchian,30m,full,pessimistic,24910,57.3,0.66,-0.149,-237.5,0.0,-242.9,0.0,14
donchian,30m,IS,realistic,16115,59.6,0.68,-0.1,-148.3,0.0,-148.3,0.0,13
donchian,30m,OOS,realistic,8787,64.1,0.81,-0.069,-108.9,0.0,-114.5,0.0,8
donchian,1h,full,ideal,12281,65.0,1.04,0.026,1255.7,12.8,-49.9,0.26,10
donchian,1h,full,realistic,12281,63.5,0.86,-0.038,-100.1,0.0,-111.2,0.0,10
donchian,1h,full,pessimistic,12281,61.6,0.74,-0.078,-136.9,0.0,-147.3,0.0,10
donchian,1h,IS,realistic,8027,62.4,0.83,-0.043,-94.6,-18.1,-94.7,-0.19,10
donchian,1h,OOS,realistic,4249,65.6,0.89,-0.029,-68.7,-15.1,-80.1,-0.19,9
ma_cross,15m,full,ideal,2937,37.6,1.02,0.018,38.5,1.5,-31.8,0.05,12
ma_cross,15m,full,realistic,2937,34.3,0.75,-0.09,-91.5,-10.8,-93.8,-0.11,20
ma_cross,15m,full,pessimistic,2937,32.4,0.57,-0.157,-101.5,0.0,-103.8,0.0,20
ma_cross,15m,IS,realistic,1918,34.8,0.74,-0.09,-83.1,-11.5,-83.4,-0.14,15
ma_cross,15m,OOS,realistic,1024,33.3,0.8,-0.091,-58.2,-11.6,-61.0,-0.19,20
ma_cross,30m,full,ideal,1421,38.0,1.12,0.075,156.2,4.4,-26.0,0.17,13
ma_cross,30m,full,realistic,1421,36.3,0.99,0.002,-7.4,-0.4,-45.8,-0.01,13
ma_cross,30m,full,pessimistic,1421,35.5,0.9,-0.044,-51.3,-3.3,-59.0,-0.06,13
ma_cross,30m,IS,realistic,926,37.4,1.0,0.008,-0.3,-0.0,-42.2,-0.0,13
ma_cross,30m,OOS,realistic,496,34.3,0.97,-0.009,-7.3,-1.1,-25.8,-0.04,12
ma_cross,1h,full,ideal,712,38.1,1.14,0.064,49.0,1.9,-15.6,0.12,14
ma_cross,1h,full,realistic,712,36.8,1.01,0.012,2.7,0.1,-26.4,0.0,14
