strategy,tf,period,cost,trades,win_rate,profit_factor,expectancy_R,total_return_pct,cagr_pct,max_dd_pct,mar,max_loss_streak
smc,15m,full,ideal,5699,38.6,1.05,0.048,834.2,10.9,-40.4,0.27,16
smc,15m,full,realistic,5699,38.0,0.9,-0.06,-90.4,-10.3,-97.9,-0.1,16
smc,15m,full,pessimistic,5699,37.7,0.79,-0.128,-103.6,0.0,-109.3,0.0,16
smc,15m,IS,realistic,3587,38.3,0.88,-0.073,-93.2,-16.9,-94.3,-0.18,16
smc,15m,OOS,realistic,2111,37.6,0.92,-0.039,-60.9,-12.4,-67.3,-0.18,12
smc,30m,full,ideal,3003,39.0,1.11,0.071,522.2,8.8,-30.0,0.29,13
smc,30m,full,realistic,3003,38.8,0.98,-0.004,-24.2,-1.3,-55.4,-0.02,13
smc,30m,full,pessimistic,3003,38.6,0.88,-0.05,-74.3,-6.1,-86.4,-0.07,13
smc,30m,IS,realistic,1948,38.3,0.94,-0.026,-48.8,-4.5,-55.4,-0.08,10
smc,30m,OOS,realistic,1054,39.6,1.05,0.038,36.7,4.5,-40.5,0.11,13
smc,1h,full,ideal,1527,36.7,1.01,0.01,7.8,0.3,-45.0,0.01,15
smc,1h,full,realistic,1527,36.4,0.95,-0.041,-41.3,-2.4,-64.7,-0.04,15
smc,1h,full,pessimistic,1527,36.3,0.91,-0.072,-58.2,-3.9,-73.7,-0.05,15
smc,1h,IS,realistic,1007,37.9,0.96,-0.016,-21.6,-1.7,-43.3,-0.04,14
smc,1h,OOS,realistic,520,33.5,0.87,-0.087,-30.6,-5.0,-43.0,-0.12,15
smc,4h,full,ideal,341,41.6,1.22,0.137,49.3,1.9,-10.4,0.18,6
smc,4h,full,realistic,341,41.3,1.18,0.115,38.2,1.5,-10.3,0.15,6
smc,4h,full,pessimistic,341,41.3,1.14,0.101,30.0,1.2,-10.3,0.12,6
smc,4h,IS,realistic,227,43.2,1.27,0.164,36.6,2.2,-10.3,0.21,6
smc,4h,OOS,realistic,113,38.1,1.05,0.025,2.8,0.4,-9.1,0.04,6
