dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-08-20,406.1,400.45,417.41,2004-09-03,400.45,0.17,-102.39,-1.07,stop,9
LONG,2004-10-01,417.8,407.96,437.48,2004-11-10,437.48,0.1,193.15,1.96,target,27
LONG,2004-11-18,444.6,435.19,461.91,2004-12-08,435.19,0.1,-97.76,-1.04,stop,11
SHORT,2005-02-08,412.7,418.09,402.82,2005-02-10,418.09,0.18,-103.71,-1.07,stop,1
LONG,2005-03-09,439.8,431.41,457.17,2005-03-21,431.41,0.11,-96.33,-1.04,stop,7
LONG,2005-04-27,436.3,431.4,445.49,2005-04-28,431.4,0.2,-105.31,-1.08,stop,0
SHORT,2005-05-13,420.8,428.87,404.66,2005-06-13,428.87,0.12,-101.29,-1.05,stop,19
LONG,2005-06-14,427.7,421.3,442.0,2005-06-24,442.0,0.14,194.98,2.18,target,7
SHORT,2005-07-15,419.2,426.37,404.86,2005-07-22,426.37,0.13,-98.02,-1.05,stop,4
LONG,2005-08-02,431.3,426.72,440.47,2005-08-11,440.47,0.21,184.77,1.92,target,6
LONG,2005-08-12,446.0,434.78,466.34,2005-08-30,434.78,0.08,-92.73,-1.03,stop,11
LONG,2005-09-16,454.8,445.64,474.63,2005-09-22,474.63,0.1,194.57,2.12,target,3
LONG,2005-09-22,472.3,460.74,493.32,2005-09-23,460.74,0.08,-95.45,-1.03,stop,0
LONG,2005-11-17,479.6,464.72,506.66,2005-12-05,506.66,0.06,160.13,1.79,target,8
LONG,2005-12-06,510.3,500.01,525.48,2005-12-09,525.48,0.09,133.26,1.44,target,2
LONG,2005-12-09,520.7,508.61,543.37,2005-12-14,508.61,0.08,-99.65,-1.03,stop,2
LONG,2006-01-10,548.0,529.91,583.29,2006-03-30,583.29,0.05,174.58,1.93,target,54
LONG,2006-03-30,573.0,555.14,607.83,2006-04-17,607.83,0.05,172.29,1.93,target,10
LONG,2006-04-18,613.2,597.81,644.88,2006-04-20,644.88,0.06,187.88,2.03,target,1
LONG,2006-04-20,639.2,615.26,686.48,2006-04-21,615.26,0.04,-97.24,-1.02,stop,0
LONG,2006-05-01,654.1,626.0,709.09,2006-05-10,709.09,0.03,163.87,1.94,target,6
LONG,2006-05-10,700.5,669.83,759.43,2006-05-19,669.83,0.03,-93.11,-1.01,stop,6
LONG,2006-07-07,633.2,613.99,671.01,2006-07-17,671.01,0.05,187.2,1.95,target,5
SHORT,2006-09-15,575.6,601.74,521.51,2006-09-28,601.74,0.04,-106.06,-1.01,stop,7
SHORT,2006-10-05,567.0,588.01,525.58,2006-10-13,588.01,0.05,-106.9,-1.02,stop,5
LONG,2006-11-02,616.0,599.1,651.9,2007-01-25,651.9,0.06,213.15,2.1,target,55
LONG,2007-01-25,647.0,633.56,675.99,2007-02-21,675.99,0.08,228.94,2.13,target,18
LONG,2007-02-22,677.8,651.38,731.84,2007-03-02,651.38,0.04,-107.16,-1.01,stop,5
LONG,2007-04-05,674.1,658.73,703.34,2007-05-17,658.73,0.07,-110.19,-1.02,stop,29
SHORT,2007-06-27,639.8,655.71,609.18,2007-07-02,655.71,0.06,-97.67,-1.02,stop,2
LONG,2007-07-11,663.6,654.48,680.64,2007-07-20,680.64,0.11,183.35,1.83,target,6
LONG,2007-07-20,676.8,667.33,697.54,2007-07-26,667.33,0.11,-108.23,-1.04,stop,3
LONG,2007-09-05,681.4,666.78,710.64,2007-09-11,710.64,0.07,202.09,1.97,target,3
LONG,2007-09-12,711.1,697.45,741.4,2007-09-28,741.4,0.08,239.47,2.19,target,11
LONG,2007-10-01,743.7,727.68,773.34,2007-10-02,727.68,0.06,-98.33,-1.02,stop,0
LONG,2007-10-02,746.4,735.63,770.05,2007-10-03,735.63,0.1,-111.43,-1.03,stop,0
LONG,2007-10-16,758.4,741.45,793.5,2007-10-29,793.5,0.06,208.4,2.05,target,8
LONG,2007-10-29,788.4,762.27,829.57,2007-11-07,829.57,0.04,163.18,1.56,target,6
LONG,2007-11-07,824.3,798.92,873.86,2007-11-12,798.92,0.04,-102.99,-1.01,stop,2
LONG,2007-12-31,841.1,815.79,885.72,2008-01-09,885.72,0.04,176.99,1.75,target,5
LONG,2008-01-09,882.9,848.81,936.07,2008-01-30,936.07,0.03,158.41,1.55,target,14
LONG,2008-02-21,940.7,903.31,1024.47,2008-03-17,1024.47,0.03,250.21,2.23,target,16
LONG,2008-03-17,1017.0,980.32,1046.86,2008-03-18,980.32,0.03,-111.15,-1.01,stop,0
LONG,2008-05-22,934.2,906.29,980.43,2008-05-27,906.29,0.04,-113.14,-1.01,stop,2
LONG,2008-06-27,914.8,874.36,1000.78,2008-08-05,874.36,0.02,-81.62,-1.01,stop,26
SHORT,2008-08-06,873.5,905.27,810.56,2008-08-12,810.56,0.03,187.71,1.97,target,3
SHORT,2008-08-12,825.6,876.38,715.04,2008-09-18,876.38,0.02,-102.3,-1.01,stop,26
LONG,2008-09-18,867.0,763.43,1063.63,2008-10-22,763.43,0.01,-103.94,-1.0,stop,23
SHORT,2008-10-22,775.3,823.71,667.08,2008-11-24,823.71,0.02,-97.56,-1.01,stop,22
LONG,2008-12-16,836.3,807.99,893.82,2009-01-14,807.99,0.04,-114.71,-1.01,stop,18
SHORT,2009-01-15,812.3,841.61,749.77,2009-01-16,841.61,0.03,-89.05,-1.01,stop,0
LONG,2009-01-26,896.4,838.97,1018.16,2009-04-21,882.98,0.01,-13.79,-0.24,time,60
LONG,2009-05-14,926.75,909.25,959.35,2009-05-22,959.35,0.06,193.38,1.84,target,4
LONG,2009-05-22,953.25,927.58,1000.32,2009-06-15,927.58,0.04,-104.14,-1.01,stop,15
LONG,2009-07-21,950.48,931.14,985.32,2009-07-29,931.14,0.05,-98.54,-1.02,stop,5
LONG,2009-08-05,966.21,944.09,1013.56,2009-08-10,944.09,0.05,-112.43,-1.02,stop,2
LONG,2009-09-03,977.57,944.25,1044.3,2009-10-07,1044.3,0.03,199.07,1.99,target,23
LONG,2009-10-07,1039.95,1007.32,1109.57,2009-11-09,1109.57,0.03,207.74,2.12,target,21
LONG,2009-11-10,1105.0,1087.06,1134.88,2009-11-16,1134.88,0.06,177.03,1.64,target,3
LONG,2009-11-26,1187.92,1157.7,1261.19,2009-11-27,1157.7,0.03,-91.76,-1.01,stop,0
LONG,2009-12-02,1196.68,1164.99,1255.91,2009-12-04,1164.99,0.03,-96.17,-1.01,stop,1
LONG,2010-03-03,1135.61,1104.57,1193.86,2010-03-10,1104.57,0.03,-94.24,-1.01,stop,4
LONG,2010-04-07,1135.78,1114.89,1172.16,2010-04-27,1172.16,0.05,180.04,1.72,target,12
LONG,2010-05-03,1177.78,1160.0,1216.17,2010-05-05,1160.0,0.06,-108.93,-1.02,stop,1
LONG,2010-05-07,1204.44,1163.62,1296.91,2010-07-27,1163.62,0.02,-82.38,-1.01,stop,56
LONG,2010-08-17,1224.6,1206.25,1262.28,2010-09-14,1262.28,0.06,223.86,2.03,target,19
LONG,2010-09-15,1268.95,1239.6,1324.62,2010-10-05,1324.62,0.03,165.91,1.88,target,13
LONG,2010-10-06,1340.35,1305.56,1409.97,2010-11-08,1409.97,0.03,207.75,1.99,target,21
LONG,2010-11-09,1405.7,1375.72,1476.32,2010-11-15,1375.72,0.03,-91.06,-1.01,stop,2
LONG,2011-02-18,1383.83,1365.74,1419.53,2011-03-01,1419.53,0.06,211.99,1.95,target,6
LONG,2011-03-02,1432.17,1400.45,1498.09,2011-03-15,1400.45,0.03,-96.26,-1.01,stop,8
LONG,2011-04-06,1454.43,1420.47,1525.85,2011-04-27,1525.85,0.03,213.15,2.09,target,13
LONG,2011-04-28,1528.3,1494.48,1590.99,2011-05-05,1494.48,0.03,-102.56,-1.01,stop,4
LONG,2011-07-13,1565.89,1530.64,1642.38,2011-07-18,1530.64,0.03,-106.85,-1.01,stop,2
LONG,2011-07-19,1604.93,1482.77,1849.05,2011-08-19,1849.05,0.01,243.75,2.0,target,22
LONG,2011-08-19,1824.91,1766.22,1939.32,2011-08-24,1766.22,0.02,-118.12,-1.01,stop,2
LONG,2011-10-26,1705.38,1621.11,1871.54,2011-12-14,1621.11,0.01,-84.64,-1.0,stop,34
SHORT,2011-12-15,1577.82,1661.14,1397.93,2012-01-12,1661.14,0.01,-83.69,-1.0,stop,17
LONG,2012-01-24,1675.7,1649.36,1732.73,2012-01-25,1649.36,0.04,-106.85,-1.01,stop,0
LONG,2012-01-26,1709.94,1634.72,1860.29,2012-03-14,1634.72,0.01,-75.59,-1.0,stop,32
SHORT,2012-03-15,1643.65,1697.75,1537.01,2012-05-16,1537.01,0.02,212.53,1.96,target,42
SHORT,2012-05-16,1544.33,1575.16,1480.94,2012-05-17,1575.16,0.03,-93.59,-1.01,stop,0
SHORT,2012-05-17,1539.31,1563.37,1487.65,2012-05-18,1563.37,0.04,-97.72,-1.02,stop,0
LONG,2012-08-22,1637.23,1608.99,1694.0,2012-09-04,1694.0,0.04,225.6,2.0,target,8
LONG,2012-09-05,1695.35,1678.92,1729.31,2012-09-07,1729.31,0.07,235.14,2.05,target,1
LONG,2012-09-07,1701.3,1682.52,1735.08,2012-09-10,1735.08,0.06,200.49,1.78,target,0
LONG,2012-09-10,1734.91,1678.87,1849.37,2012-11-02,1678.87,0.02,-112.83,-1.01,stop,38
LONG,2012-11-26,1750.35,1719.13,1815.13,2012-11-28,1719.13,0.03,-94.76,-1.01,stop,1
SHORT,2012-12-19,1672.3,1712.34,1586.76,2013-02-20,1586.76,0.03,255.51,2.13,target,42
SHORT,2013-02-21,1567.62,1619.57,1452.67,2013-02-26,1619.57,0.02,-104.65,-1.01,stop,2
SHORT,2013-04-04,1557.26,1586.06,1499.47,2013-04-09,1586.06,0.04,-116.7,-1.01,stop,2
SHORT,2013-04-15,1482.82,1576.71,1293.58,2013-06-20,1293.58,0.01,188.87,2.01,target,47
SHORT,2013-06-20,1350.93,1389.67,1273.75,2013-06-21,1273.75,0.03,230.44,1.98,target,0
SHORT,2013-06-21,1281.77,1365.91,1121.44,2013-08-15,1365.91,0.01,-84.51,-1.0,stop,38
SHORT,2013-10-02,1289.15,1352.22,1161.6,2013-10-25,1352.22,0.01,-63.44,-1.01,stop,16
SHORT,2013-11-21,1243.85,1286.91,1159.23,2014-02-11,1286.91,0.02,-86.86,-1.01,stop,55
LONG,2014-02-25,1335.21,1310.1,1390.0,2014-03-24,1310.1,0.04,-101.93,-1.01,stop,18
SHORT,2014-03-25,1309.38,1343.88,1237.97,2014-06-19,1278.29,0.03,92.16,0.89,time,60
LONG,2014-06-20,1321.47,1268.43,1422.15,2014-09-02,1268.43,0.02,-106.82,-1.01,stop,51
SHORT,2014-09-03,1265.88,1293.77,1208.03,2014-09-22,1208.03,0.04,229.91,2.06,target,12
SHORT,2014-09-22,1215.83,1235.32,1175.35,2014-10-13,1235.32,0.06,-119.16,-1.02,stop,14
SHORT,2014-11-03,1167.31,1210.65,1093.25,2014-12-01,1210.65,0.02,-87.43,-1.01,stop,19
LONG,2015-01-16,1262.97,1215.01,1356.92,2015-02-17,1215.01,0.02,-96.67,-1.01,stop,20
SHORT,2015-02-18,1208.9,1244.21,1139.11,2015-05-14,1215.14,0.03,-19.83,-0.19,time,60
SHORT,2015-06-05,1177.14,1193.25,1142.78,2015-06-18,1193.25,0.07,-115.39,-1.02,stop,8
SHORT,2015-07-20,1132.56,1151.79,1099.11,2015-07-21,1099.11,0.06,198.51,1.72,target,0
SHORT,2015-07-21,1098.26,1141.08,1007.94,2015-08-20,1141.08,0.02,-86.38,-1.01,stop,21
LONG,2015-10-15,1184.54,1155.01,1243.72,2015-10-28,1155.01,0.04,-119.59,-1.01,stop,8
SHORT,2015-11-04,1118.11,1146.13,1060.57,2015-11-27,1060.57,0.04,228.69,2.04,target,16
SHORT,2015-11-30,1058.29,1080.73,1012.66,2015-12-04,1080.73,0.05,-114.06,-1.02,stop,3
LONG,2016-02-04,1141.56,1117.15,1192.71,2016-02-08,1192.71,0.05,253.92,2.08,target,1
LONG,2016-02-08,1168.46,1137.33,1244.53,2016-02-11,1244.53,0.04,302.78,2.43,target,2
