dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-06-18 16:00:00,394.6,387.36,410.58,2004-07-06 08:00:00,397.8,0.13,36.79,0.39,time,60
LONG,2004-07-07 20:00:00,401.8,397.88,409.65,2004-07-21 12:00:00,397.88,0.25,-107.31,-1.09,stop,57
SHORT,2004-07-23 00:00:00,394.3,395.97,387.95,2004-07-23 16:00:00,387.95,0.59,352.79,3.57,target,3
SHORT,2004-07-23 16:00:00,390.8,394.28,384.74,2004-07-28 08:00:00,384.74,0.29,164.9,1.63,target,15
LONG,2004-08-06 16:00:00,398.6,389.98,416.44,2004-08-20 20:00:00,412.6,0.12,163.56,1.58,time,60
LONG,2004-08-20 20:00:00,412.6,408.39,419.82,2004-08-23 16:00:00,408.39,0.25,-114.49,-1.09,stop,4
LONG,2004-08-31 20:00:00,409.3,405.66,416.57,2004-09-02 16:00:00,405.66,0.28,-112.15,-1.1,stop,10
SHORT,2004-09-07 16:00:00,396.3,401.95,386.51,2004-09-10 16:00:00,401.95,0.18,-108.28,-1.07,stop,17
LONG,2004-09-13 20:00:00,403.6,397.03,418.25,2004-09-28 00:00:00,408.3,0.15,64.95,0.66,time,60
LONG,2004-09-29 16:00:00,412.6,409.32,419.76,2004-10-06 04:00:00,419.76,0.31,210.41,2.07,target,25
LONG,2004-10-06 08:00:00,419.6,417.51,424.38,2004-10-06 12:00:00,417.51,0.5,-122.95,-1.18,stop,0
LONG,2004-10-08 16:00:00,421.8,415.66,433.48,2004-10-12 12:00:00,415.66,0.16,-104.12,-1.06,stop,9
LONG,2004-10-20 12:00:00,422.1,418.67,429.56,2004-10-25 12:00:00,429.56,0.3,212.63,2.07,target,16
LONG,2004-11-04 16:00:00,430.8,425.03,442.34,2004-11-05 12:00:00,425.03,0.18,-110.56,-1.06,stop,4
LONG,2004-11-08 00:00:00,433.6,428.38,442.55,2004-11-17 08:00:00,442.55,0.19,162.96,1.64,target,42
LONG,2004-11-17 12:00:00,442.8,437.94,453.13,2004-11-26 08:00:00,453.13,0.21,209.09,2.05,target,30
LONG,2004-11-29 16:00:00,451.3,448.07,457.16,2004-11-30 16:00:00,448.07,0.33,-118.77,-1.11,stop,5
LONG,2004-12-02 04:00:00,455.7,453.28,460.85,2004-12-02 12:00:00,453.28,0.44,-122.96,-1.15,stop,1
SHORT,2004-12-08 16:00:00,436.6,446.77,416.85,2004-12-22 20:00:00,439.8,0.1,-35.7,-0.35,time,60
LONG,2004-12-27 20:00:00,444.3,441.4,450.7,2004-12-29 12:00:00,441.4,0.36,-117.63,-1.13,stop,9
SHORT,2004-12-29 20:00:00,435.6,440.76,424.37,2005-01-04 16:00:00,424.37,0.2,217.18,2.1,target,15
SHORT,2005-01-06 20:00:00,420.8,425.38,411.64,2005-01-12 12:00:00,425.38,0.23,-113.83,-1.08,stop,21
SHORT,2005-02-03 16:00:00,415.0,420.45,404.69,2005-02-11 16:00:00,420.45,0.19,-110.65,-1.07,stop,35
LONG,2005-02-14 16:00:00,423.8,420.93,430.44,2005-02-22 08:00:00,430.44,0.36,225.86,2.18,target,24
LONG,2005-02-22 16:00:00,432.1,429.73,437.15,2005-02-28 12:00:00,437.15,0.44,205.85,1.97,target,22
LONG,2005-03-08 16:00:00,436.8,434.04,443.21,2005-03-11 12:00:00,443.21,0.39,235.61,2.19,target,16
LONG,2005-03-11 16:00:00,443.6,439.43,452.25,2005-03-15 12:00:00,439.43,0.26,-118.12,-1.09,stop,10
SHORT,2005-03-21 16:00:00,432.0,436.25,422.9,2005-04-04 16:00:00,422.9,0.25,218.18,2.05,target,52
SHORT,2005-04-04 20:00:00,422.7,424.89,418.62,2005-04-05 12:00:00,424.89,0.51,-130.49,-1.17,stop,3
