dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-08-20,406.1,395.61,,2004-08-23,411.8,0.09,47.97,0.51,signal,0
LONG,2004-08-23,411.8,401.32,,2004-09-07,400.6,0.09,-104.13,-1.1,signal,9
LONG,2004-10-01,417.8,407.54,,2004-10-04,418.3,0.09,1.17,0.01,signal,0
LONG,2004-10-04,418.3,408.95,,2004-10-11,422.5,0.1,38.3,0.41,signal,4
LONG,2004-10-11,422.5,411.99,,2004-10-26,428.3,0.09,48.87,0.52,signal,10
LONG,2004-10-26,428.3,417.45,,2004-11-08,433.6,0.09,44.37,0.45,signal,8
LONG,2004-11-08,433.6,421.49,,2004-11-18,444.6,0.08,85.04,0.88,signal,7
LONG,2004-11-18,444.6,432.99,,2004-11-22,446.3,0.08,10.64,0.11,signal,1
LONG,2004-11-22,446.3,435.36,,2004-11-23,448.3,0.09,14.67,0.15,signal,0
LONG,2004-11-23,448.3,437.33,,2004-11-29,451.3,0.09,23.67,0.24,signal,2
LONG,2004-11-29,451.3,440.73,,2004-12-08,439.71,0.09,-107.64,-1.13,stop,5
SHORT,2005-01-04,429.3,440.25,,2005-01-07,421.7,0.09,65.07,0.66,signal,2
SHORT,2005-01-07,421.7,432.41,,2005-01-10,419.1,0.09,20.07,0.21,signal,0
SHORT,2005-01-10,419.1,430.43,,2005-02-04,416.7,0.08,16.24,0.18,signal,18
SHORT,2005-02-08,412.7,422.9,,2005-02-14,424.23,0.1,-119.04,-1.17,stop,3
LONG,2005-02-23,434.3,424.95,,2005-03-09,439.8,0.1,51.3,0.55,signal,9
LONG,2005-03-09,439.8,430.35,,2005-03-14,444.8,0.1,46.3,0.49,signal,2
LONG,2005-03-14,444.8,434.73,,2005-03-21,429.42,0.1,-157.5,-1.56,stop,4
SHORT,2005-03-23,425.8,436.61,,2005-03-24,424.7,0.09,6.57,0.07,signal,0
SHORT,2005-03-24,424.7,435.06,,2005-04-20,434.65,0.09,-92.84,-1.0,stop,17
LONG,2005-04-27,436.3,427.51,,2005-05-12,423.16,0.11,-148.65,-1.54,stop,10
SHORT,2005-05-13,420.8,429.54,,2005-05-16,419.8,0.11,6.93,0.07,signal,0
SHORT,2005-05-16,419.8,428.0,,2005-05-23,417.2,0.11,24.53,0.27,signal,4
SHORT,2005-05-23,417.2,425.45,,2005-06-06,425.39,0.11,-94.14,-1.04,stop,8
LONG,2005-06-14,427.7,419.53,,2005-06-17,435.3,0.11,79.53,0.88,signal,2
LONG,2005-06-17,435.3,426.29,,2005-06-20,437.0,0.1,13.3,0.15,signal,0
LONG,2005-06-20,437.0,428.35,,2005-07-01,429.81,0.11,-83.18,-0.87,stop,8
SHORT,2005-07-15,419.2,427.88,,2005-07-29,427.5,0.11,-95.37,-1.0,signal,9
LONG,2005-08-02,431.3,423.54,,2005-08-04,436.3,0.12,55.56,0.6,signal,1
LONG,2005-08-04,436.3,428.38,,2005-08-12,446.0,0.12,111.96,1.18,signal,5
LONG,2005-08-12,446.0,437.24,,2005-08-30,433.71,0.11,-139.3,-1.45,stop,11
LONG,2005-09-16,454.8,445.73,,2005-09-19,458.8,0.1,36.3,0.4,signal,0
LONG,2005-09-19,458.8,449.61,,2005-09-20,463.6,0.1,44.3,0.48,signal,0
LONG,2005-09-20,463.6,453.6,,2005-09-22,472.3,0.09,74.97,0.83,signal,1
LONG,2005-09-22,472.3,460.83,,2005-09-23,460.83,0.08,-94.7,-1.03,stop,0
SHORT,2005-11-02,459.7,471.74,,2005-11-07,456.7,0.08,21.04,0.22,signal,2
SHORT,2005-11-07,456.7,469.15,,2005-11-16,475.0,0.07,-130.66,-1.5,stop,6
LONG,2005-11-17,479.6,466.41,,2005-11-18,485.2,0.07,36.61,0.4,signal,0
LONG,2005-11-18,485.2,472.51,,2005-11-22,491.3,0.07,40.11,0.45,signal,1
LONG,2005-11-22,491.3,478.17,,2005-11-23,491.6,0.07,-0.49,-0.01,signal,0
LONG,2005-11-23,491.6,480.63,,2005-11-29,498.7,0.08,53.84,0.61,signal,1
LONG,2005-11-29,498.7,485.65,,2005-12-02,504.3,0.07,36.61,0.4,signal,1
LONG,2005-12-02,504.3,490.25,,2005-12-06,510.3,0.06,33.78,0.4,signal,1
LONG,2005-12-06,510.3,494.97,,2005-12-07,508.8,0.06,-11.22,-0.12,signal,0
LONG,2005-12-07,508.8,497.11,,2005-12-08,514.7,0.08,44.24,0.47,signal,0
LONG,2005-12-08,514.7,501.0,,2005-12-09,520.7,0.07,39.41,0.41,signal,0
LONG,2005-12-09,520.7,506.33,,2005-12-12,528.2,0.06,42.78,0.5,signal,0
LONG,2005-12-12,528.2,511.42,,2005-12-14,505.95,0.05,-113.09,-1.35,stop,1
LONG,2006-01-10,548.0,528.64,,2006-01-17,558.2,0.05,49.15,0.51,signal,3
LONG,2006-01-17,558.2,537.45,,2006-01-31,568.5,0.04,39.72,0.48,signal,9
LONG,2006-01-31,568.5,547.66,,2006-02-08,545.32,0.04,-94.21,-1.13,stop,5
SHORT,2006-02-14,537.6,562.4,,2006-03-01,562.1,0.03,-74.61,-1.0,signal,9
LONG,2006-03-30,573.0,552.94,,2006-03-31,587.5,0.04,56.52,0.7,signal,0
LONG,2006-03-31,587.5,567.42,,2006-04-07,595.1,0.04,28.92,0.36,signal,4
LONG,2006-04-07,595.1,575.07,,2006-04-11,599.6,0.04,16.52,0.21,signal,1
LONG,2006-04-11,599.6,578.77,,2006-04-18,613.2,0.04,52.92,0.64,signal,3
LONG,2006-04-18,613.2,592.22,,2006-04-19,621.6,0.04,32.12,0.38,signal,0
LONG,2006-04-19,621.6,599.97,,2006-04-20,639.2,0.04,68.92,0.8,signal,0
LONG,2006-04-20,639.2,616.72,,2006-04-21,616.72,0.04,-91.4,-1.02,stop,0
LONG,2006-05-01,654.1,625.56,,2006-05-03,668.7,0.03,42.69,0.5,signal,1
LONG,2006-05-03,668.7,640.66,,2006-05-05,678.7,0.03,28.89,0.34,signal,1
LONG,2006-05-05,678.7,650.61,,2006-05-08,680.7,0.03,4.89,0.06,signal,0
LONG,2006-05-08,680.7,654.61,,2006-05-10,700.5,0.03,58.29,0.74,signal,1
LONG,2006-05-10,700.5,670.13,,2006-05-11,707.5,0.03,19.89,0.22,signal,0
LONG,2006-05-11,707.5,679.01,,2006-05-12,712.6,0.03,14.19,0.17,signal,0
LONG,2006-05-12,712.6,683.29,,2006-05-15,683.29,0.03,-89.04,-1.01,stop,0
SHORT,2006-06-02,629.1,667.43,,2006-06-09,613.5,0.02,30.46,0.4,signal,4
SHORT,2006-06-09,613.5,650.42,,2006-06-14,564.5,0.02,97.26,1.32,signal,2
SHORT,2006-06-14,564.5,604.12,,2006-06-15,559.7,0.02,8.86,0.11,signal,0
SHORT,2006-06-15,559.7,597.71,,2006-06-30,598.1,0.02,-77.54,-1.02,signal,10
LONG,2006-07-07,633.2,599.64,,2006-07-12,640.5,0.02,13.86,0.21,signal,2
LONG,2006-07-12,640.5,607.39,,2006-07-13,650.7,0.03,29.49,0.3,signal,0
LONG,2006-07-13,650.7,617.45,,2006-07-14,665.0,0.03,41.79,0.42,signal,0
LONG,2006-07-14,665.0,630.63,,2006-07-19,624.62,0.02,-81.5,-1.19,stop,2
SHORT,2006-09-12,590.1,616.07,,2006-09-15,575.6,0.03,42.39,0.54,signal,2
SHORT,2006-09-15,575.6,603.27,,2006-09-29,600.6,0.03,-76.11,-0.92,signal,8
SHORT,2006-10-05,567.0,596.27,,2006-10-20,599.2,0.03,-97.71,-1.11,signal,10
LONG,2006-11-02,616.0,592.0,,2006-11-03,623.6,0.04,28.92,0.3,signal,0
LONG,2006-11-03,623.6,599.55,,2006-11-06,628.2,0.04,16.92,0.18,signal,0
LONG,2006-11-06,628.2,602.29,,2006-11-10,634.0,0.03,16.29,0.21,signal,3
LONG,2006-11-10,634.0,610.0,,2006-11-28,640.7,0.04,25.32,0.26,signal,9
LONG,2006-11-28,640.7,617.97,,2006-12-01,646.1,0.04,20.12,0.22,signal,2
LONG,2006-12-01,646.1,624.85,,2006-12-15,616.02,0.04,-121.8,-1.43,stop,9
SHORT,2007-01-08,608.2,626.64,,2007-01-18,634.45,0.05,-133.09,-1.44,stop,7
LONG,2007-01-24,645.6,625.88,,2007-01-25,647.0,0.04,4.12,0.05,signal,0
LONG,2007-01-25,647.0,627.94,,2007-02-02,656.6,0.05,46.15,0.48,signal,5
LONG,2007-02-02,656.6,637.85,,2007-02-12,666.6,0.05,48.15,0.51,signal,5
LONG,2007-02-12,666.6,646.43,,2007-02-22,677.8,0.04,43.32,0.54,signal,7
LONG,2007-02-22,677.8,657.5,,2007-03-02,657.18,0.04,-83.97,-1.03,stop,5
SHORT,2007-03-05,643.2,666.65,,2007-03-06,632.7,0.04,40.52,0.43,signal,0
SHORT,2007-03-06,632.7,660.4,,2007-03-22,663.8,0.03,-94.41,-1.14,signal,11
LONG,2007-04-05,674.1,654.55,,2007-04-16,686.6,0.04,48.52,0.62,signal,6
LONG,2007-04-16,686.6,667.02,,2007-04-17,689.5,0.05,12.65,0.13,signal,0
LONG,2007-04-17,689.5,672.48,,2007-04-23,692.8,0.05,14.65,0.17,signal,3
LONG,2007-04-23,692.8,673.83,,2007-05-10,665.15,0.05,-140.12,-1.48,stop,12
SHORT,2007-05-11,665.9,684.07,,2007-05-17,662.1,0.05,17.15,0.19,signal,3
SHORT,2007-05-17,662.1,679.96,,2007-05-18,657.7,0.05,20.15,0.23,signal,0
SHORT,2007-05-18,657.7,675.74,,2007-06-04,670.9,0.05,-67.85,-0.75,signal,9
SHORT,2007-06-11,649.1,665.85,,2007-06-27,639.8,0.05,44.65,0.53,signal,11
SHORT,2007-06-27,639.8,656.83,,2007-07-10,660.0,0.05,-102.85,-1.21,signal,8
LONG,2007-07-11,663.6,647.27,,2007-07-13,666.8,0.05,14.15,0.17,signal,1
LONG,2007-07-13,666.8,651.3,,2007-07-19,673.2,0.06,36.18,0.39,signal,3
LONG,2007-07-19,673.2,657.48,,2007-07-20,676.8,0.06,19.38,0.21,signal,0
LONG,2007-07-20,676.8,662.3,,2007-07-23,683.2,0.06,36.18,0.42,signal,0
LONG,2007-07-23,683.2,667.21,,2007-07-26,664.79,0.06,-112.68,-1.17,stop,2
SHORT,2007-08-17,652.5,670.54,,2007-09-03,672.5,0.05,-101.85,-1.13,signal,10
LONG,2007-09-05,681.4,664.42,,2007-09-07,694.6,0.05,64.15,0.76,signal,1
LONG,2007-09-07,694.6,677.76,,2007-09-10,699.6,0.05,23.15,0.27,signal,0
LONG,2007-09-10,699.6,682.15,,2007-09-12,711.1,0.05,55.65,0.64,signal,1
LONG,2007-09-12,711.1,693.89,,2007-09-18,716.1,0.05,23.15,0.27,signal,3
LONG,2007-09-18,716.1,698.13,,2007-09-19,725.2,0.05,43.65,0.49,signal,0
LONG,2007-09-19,725.2,704.23,,2007-09-21,732.9,0.04,29.32,0.35,signal,1
LONG,2007-09-21,732.9,714.12,,2007-10-01,743.7,0.05,52.15,0.56,signal,5
LONG,2007-10-01,743.7,722.39,,2007-10-02,746.4,0.04,9.32,0.11,signal,0
LONG,2007-10-02,746.4,726.95,,2007-10-03,726.95,0.05,-99.1,-1.02,stop,0
LONG,2007-10-16,758.4,736.22,,2007-10-17,761.4,0.04,10.52,0.12,signal,0
LONG,2007-10-17,761.4,737.71,,2007-10-19,767.5,0.04,22.92,0.24,signal,1
LONG,2007-10-19,767.5,744.06,,2007-10-29,788.4,0.04,82.12,0.88,signal,5
LONG,2007-10-29,788.4,760.63,,2007-10-30,790.0,0.03,3.69,0.04,signal,0
LONG,2007-10-30,790.0,767.98,,2007-11-01,797.9,0.04,30.12,0.34,signal,1
LONG,2007-11-01,797.9,771.32,,2007-11-05,804.2,0.03,17.79,0.22,signal,1
LONG,2007-11-05,804.2,780.47,,2007-11-07,824.3,0.04,78.92,0.83,signal,1
LONG,2007-11-07,824.3,797.68,,2007-11-08,823.8,0.03,-2.61,-0.03,signal,0
LONG,2007-11-08,823.8,801.87,,2007-11-12,796.44,0.04,-110.93,-1.26,stop,1
LONG,2007-12-31,841.1,807.34,,2008-01-03,856.2,0.02,29.46,0.44,signal,1
LONG,2008-01-03,856.2,824.35,,2008-01-04,864.2,0.03,22.89,0.24,signal,0
LONG,2008-01-04,864.2,830.7,,2008-01-09,882.9,0.02,36.66,0.55,signal,2
LONG,2008-01-09,882.9,845.16,,2008-01-11,894.2,0.02,21.86,0.29,signal,1
LONG,2008-01-11,894.2,860.0,,2008-01-14,896.9,0.02,4.66,0.07,signal,0
LONG,2008-01-14,896.9,861.22,,2008-01-15,904.9,0.02,15.26,0.21,signal,0
LONG,2008-01-15,904.9,870.11,,2008-01-29,926.4,0.02,42.26,0.61,signal,9
LONG,2008-01-29,926.4,889.63,,2008-02-20,927.5,0.02,1.46,0.02,signal,15
LONG,2008-02-21,940.7,905.75,,2008-02-22,942.8,0.02,3.46,0.05,signal,0
LONG,2008-02-22,942.8,907.86,,2008-02-28,958.5,0.02,30.66,0.44,signal,3
LONG,2008-02-28,958.5,920.86,,2008-02-29,968.8,0.02,19.86,0.26,signal,0
LONG,2008-02-29,968.8,931.82,,2008-03-03,976.1,0.02,13.86,0.19,signal,0
LONG,2008-03-03,976.1,936.63,,2008-03-04,985.2,0.02,17.46,0.22,signal,0
LONG,2008-03-04,985.2,946.61,,2008-03-14,995.1,0.02,19.06,0.25,signal,7
LONG,2008-03-14,995.1,954.13,,2008-03-17,1017.0,0.02,43.06,0.53,signal,0
LONG,2008-03-17,1017.0,963.35,,2008-03-19,947.89,0.01,-69.48,-1.3,stop,1
SHORT,2008-03-21,911.4,957.46,,2008-04-02,885.3,0.02,51.46,0.56,signal,7
SHORT,2008-04-02,885.3,932.2,,2008-04-17,944.2,0.02,-118.54,-1.26,signal,10
SHORT,2008-04-30,872.4,914.22,,2008-05-02,853.2,0.02,37.66,0.45,signal,1
SHORT,2008-05-02,853.2,896.53,,2008-05-19,905.1,0.02,-104.54,-1.21,signal,10
LONG,2008-05-22,934.2,891.08,,2008-05-30,872.74,0.02,-123.66,-1.43,stop,5
LONG,2008-06-27,914.8,876.18,,2008-06-30,929.3,0.02,28.26,0.37,signal,0
LONG,2008-06-30,929.3,886.96,,2008-07-02,939.6,0.02,19.86,0.23,signal,1
LONG,2008-07-02,939.6,898.91,,2008-07-11,945.6,0.02,11.26,0.14,signal,6
LONG,2008-07-11,945.6,908.44,,2008-07-14,963.7,0.02,35.46,0.48,signal,0
LONG,2008-07-14,963.7,924.83,,2008-07-15,970.8,0.02,13.46,0.17,signal,0
LONG,2008-07-15,970.8,933.16,,2008-07-16,977.5,0.02,12.66,0.17,signal,0
LONG,2008-07-16,977.5,937.91,,2008-07-23,918.26,0.02,-119.22,-1.51,stop,4
SHORT,2008-07-31,907.4,945.64,,2008-08-06,873.5,0.02,67.06,0.88,signal,3
SHORT,2008-08-06,873.5,913.5,,2008-08-11,861.3,0.02,23.66,0.3,signal,2
SHORT,2008-08-11,861.3,895.45,,2008-08-12,825.6,0.02,70.66,1.03,signal,0
SHORT,2008-08-12,825.6,864.63,,2008-08-13,815.0,0.02,20.46,0.26,signal,0
SHORT,2008-08-13,815.0,853.71,,2008-08-18,793.1,0.02,43.06,0.56,signal,2
SHORT,2008-08-18,793.1,832.04,,2008-09-10,777.1,0.02,31.26,0.4,signal,16
SHORT,2008-09-11,754.6,796.7,,2008-09-12,748.9,0.02,10.66,0.13,signal,0
SHORT,2008-09-12,748.9,791.85,,2008-09-17,830.86,0.02,-164.66,-1.92,stop,2
LONG,2008-09-18,867.0,812.61,,2008-10-03,827.79,0.01,-39.58,-0.73,stop,10
SHORT,2008-10-17,800.2,883.43,,2008-10-20,786.1,0.01,13.73,0.16,signal,0
SHORT,2008-10-20,786.1,861.08,,2008-10-22,775.3,0.01,10.43,0.14,signal,1
SHORT,2008-10-22,775.3,848.5,,2008-10-23,723.2,0.01,51.73,0.71,signal,0
SHORT,2008-10-23,723.2,807.92,,2008-11-13,713.2,0.01,9.63,0.11,signal,14
LONG,2008-11-24,801.7,732.01,,2008-11-25,816.9,0.01,14.83,0.21,signal,0
LONG,2008-11-25,816.9,752.07,,2008-12-16,836.3,0.01,19.03,0.29,signal,13
LONG,2008-12-16,836.3,777.39,,2008-12-17,852.7,0.01,16.03,0.27,signal,0
LONG,2008-12-17,852.7,797.54,,2008-12-18,864.6,0.01,11.53,0.21,signal,0
LONG,2008-12-18,864.6,807.56,,2009-01-13,822.1,0.01,-42.87,-0.75,signal,15
SHORT,2009-01-15,812.3,863.66,,2009-01-23,893.13,0.01,-81.2,-1.58,stop,5
LONG,2009-01-26,896.4,845.23,,2009-01-27,904.2,0.01,7.43,0.15,signal,0
LONG,2009-01-27,904.2,850.04,,2009-02-02,923.7,0.01,19.13,0.35,signal,3
LONG,2009-02-02,923.7,873.64,,2009-02-12,937.6,0.01,13.53,0.27,signal,7
LONG,2009-02-12,937.6,887.63,,2009-02-18,968.5,0.01,30.53,0.61,signal,3
LONG,2009-02-18,968.5,920.45,,2009-02-19,980.5,0.02,23.26,0.24,signal,0
LONG,2009-02-19,980.5,934.67,,2009-02-23,995.2,0.02,28.66,0.31,signal,1
LONG,2009-02-23,995.2,943.16,,2009-03-03,919.81,0.01,-75.76,-1.46,stop,5
SHORT,2009-04-07,872.0,918.1,,2009-04-24,903.9,0.02,-64.54,-0.7,signal,12
LONG,2009-05-14,926.75,890.88,,2009-05-18,930.97,0.02,7.7,0.11,signal,1
LONG,2009-05-18,930.97,897.72,,2009-05-21,937.55,0.02,12.42,0.19,signal,1
LONG,2009-05-21,937.55,903.33,,2009-05-22,953.25,0.02,30.66,0.45,signal,0
LONG,2009-05-22,953.25,917.47,,2009-05-25,956.88,0.02,6.52,0.09,signal,0
LONG,2009-05-25,956.88,923.2,,2009-06-01,976.74,0.02,38.98,0.58,signal,4
LONG,2009-06-01,976.74,945.1,,2009-06-12,937.68,0.03,-118.3,-1.25,stop,8
SHORT,2009-06-23,922.28,955.43,,2009-07-09,908.5,0.02,26.82,0.4,signal,11
SHORT,2009-07-09,908.5,939.71,,2009-07-20,951.64,0.03,-130.52,-1.39,stop,6
LONG,2009-07-21,950.48,920.67,,2009-08-05,966.21,0.03,46.08,0.52,signal,10
LONG,2009-08-05,966.21,939.15,,2009-08-18,935.65,0.03,-92.79,-1.14,signal,8
LONG,2009-09-03,977.57,949.76,,2009-09-04,993.96,0.03,48.06,0.58,signal,0
LONG,2009-09-04,993.96,962.35,,2009-09-17,1017.1,0.03,68.31,0.72,signal,8
LONG,2009-09-17,1017.1,988.39,,2009-10-07,1039.95,0.03,67.44,0.78,signal,13
LONG,2009-10-07,1039.95,1010.41,,2009-10-08,1046.1,0.03,17.34,0.2,signal,0
LONG,2009-10-08,1046.1,1013.74,,2009-10-09,1052.2,0.03,17.19,0.18,signal,0
LONG,2009-10-09,1052.2,1023.8,,2009-10-14,1064.85,0.03,36.84,0.43,signal,2
LONG,2009-10-14,1064.85,1033.9,,2009-10-27,1038.23,0.03,-80.97,-0.87,signal,8
LONG,2009-11-05,1090.49,1058.24,,2009-11-10,1105.0,0.03,42.42,0.44,signal,2
LONG,2009-11-10,1105.0,1070.12,,2009-11-12,1115.29,0.02,19.84,0.28,signal,1
LONG,2009-11-12,1115.29,1084.72,,2009-11-17,1137.0,0.03,64.02,0.7,signal,2
LONG,2009-11-17,1137.0,1106.14,,2009-11-24,1160.79,0.03,70.26,0.76,signal,4
LONG,2009-11-24,1160.79,1128.18,,2009-11-26,1187.92,0.03,80.28,0.82,signal,1
LONG,2009-11-26,1187.92,1157.57,,2009-11-27,1157.57,0.03,-92.15,-1.01,stop,0
LONG,2009-12-02,1196.68,1156.63,,2009-12-03,1220.17,0.02,46.24,0.58,signal,0
LONG,2009-12-03,1220.17,1176.2,,2009-12-04,1176.2,0.02,-88.67,-1.01,stop,0
SHORT,2009-12-18,1103.93,1145.28,,2009-12-22,1095.9,0.02,15.32,0.19,signal,1
SHORT,2009-12-22,1095.9,1139.86,,2009-12-23,1085.5,0.02,20.06,0.23,signal,0
SHORT,2009-12-23,1085.5,1131.22,,2010-01-07,1136.6,0.02,-102.94,-1.13,signal,8
LONG,2010-01-12,1148.48,1107.66,,2010-01-21,1115.33,0.02,-67.04,-0.82,signal,6
SHORT,2010-02-05,1064.5,1108.11,,2010-02-17,1126.12,0.02,-123.99,-1.42,stop,7
LONG,2010-03-03,1135.61,1093.19,,2010-03-04,1139.03,0.02,6.1,0.07,signal,0
