dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-10-31,429.6,411.45,,2004-11-07,433.6,0.05,18.15,0.2,signal,0
LONG,2004-11-07,433.6,415.6,,2004-11-14,438.3,0.05,21.65,0.24,signal,0
LONG,2004-11-14,438.3,419.9,,2004-11-21,446.3,0.05,38.15,0.41,signal,0
LONG,2004-11-21,446.3,428.77,,2004-11-28,451.3,0.05,23.15,0.26,signal,0
LONG,2004-11-28,451.3,433.43,,2004-12-05,433.43,0.05,-91.21,-1.02,stop,0
LONG,2005-08-14,445.7,425.71,,2005-09-18,458.8,0.05,63.65,0.64,signal,4
LONG,2005-09-18,458.8,438.71,,2005-09-25,462.2,0.05,15.15,0.15,signal,0
LONG,2005-09-25,462.2,441.56,,2005-11-20,484.8,0.04,88.92,1.08,signal,7
LONG,2005-11-20,484.8,459.94,,2005-11-27,498.1,0.04,51.72,0.52,signal,0
LONG,2005-11-27,498.1,466.92,,2005-12-04,503.8,0.03,15.99,0.17,signal,0
LONG,2005-12-04,503.8,477.75,,2005-12-11,528.2,0.03,72.09,0.92,signal,0
LONG,2005-12-11,528.2,499.16,,2005-12-18,499.16,0.03,-88.22,-1.01,stop,0
LONG,2006-01-15,558.2,524.62,,2006-02-05,568.2,0.03,28.89,0.29,signal,2
LONG,2006-02-05,568.2,534.88,,2006-02-12,534.88,0.03,-101.07,-1.01,stop,0
LONG,2006-04-02,572.2,546.21,,2006-04-23,638.5,0.03,197.79,2.54,signal,2
LONG,2006-04-23,638.5,592.81,,2006-04-30,654.1,0.02,30.46,0.33,signal,0
LONG,2006-04-30,654.1,611.32,,2006-05-07,680.7,0.02,52.46,0.61,signal,0
LONG,2006-05-07,680.7,639.59,,2006-05-14,712.7,0.02,63.26,0.77,signal,0
LONG,2006-05-14,712.7,666.85,,2006-05-21,666.85,0.02,-92.44,-1.01,stop,0
LONG,2007-02-11,666.6,614.75,,2007-02-25,683.3,0.02,32.66,0.31,signal,1
LONG,2007-02-25,683.3,631.16,,2007-04-22,692.8,0.02,18.26,0.18,signal,7
LONG,2007-04-22,692.8,643.84,,2007-06-10,649.1,0.02,-88.14,-0.9,signal,6
LONG,2007-09-09,699.6,656.34,,2007-09-16,706.6,0.02,13.26,0.15,signal,0
LONG,2007-09-16,706.6,663.51,,2007-09-23,729.9,0.02,45.86,0.53,signal,0
LONG,2007-09-23,729.9,686.23,,2007-09-30,743.7,0.02,26.86,0.31,signal,0
LONG,2007-09-30,743.7,698.18,,2007-10-14,747.3,0.02,6.46,0.07,signal,1
LONG,2007-10-14,747.3,703.66,,2007-10-21,766.4,0.02,37.46,0.43,signal,0
LONG,2007-10-21,766.4,719.03,,2007-10-28,788.4,0.02,43.26,0.46,signal,0
LONG,2007-10-28,788.4,737.17,,2007-11-04,804.2,0.02,30.86,0.3,signal,0
LONG,2007-11-04,804.2,758.03,,2007-11-11,829.1,0.02,49.06,0.53,signal,0
LONG,2007-11-11,829.1,781.27,,2007-11-18,781.27,0.02,-96.41,-1.01,stop,0
LONG,2008-01-06,861.5,799.56,,2008-01-13,896.9,0.01,35.03,0.57,signal,0
LONG,2008-01-13,896.9,833.94,,2008-02-24,946.5,0.01,49.23,0.78,signal,5
LONG,2008-02-24,946.5,875.86,,2008-03-02,976.1,0.01,29.23,0.41,signal,0
LONG,2008-03-02,976.1,903.12,,2008-03-16,1017.0,0.01,40.53,0.56,signal,1
LONG,2008-03-16,1017.0,930.92,,2008-03-23,930.92,0.01,-86.45,-1.0,stop,0
SHORT,2008-08-17,793.1,881.98,,2008-09-14,883.0,0.01,-90.27,-1.02,stop,3
SHORT,2008-09-14,778.6,862.96,,2008-09-21,862.96,0.01,-84.73,-1.0,stop,0
SHORT,2008-10-26,736.7,861.39,,2009-01-18,890.92,0.01,-154.59,-1.24,stop,11
LONG,2009-02-15,940.6,821.07,,2009-02-22,995.2,0.01,54.23,0.45,signal,0
LONG,2009-02-22,995.2,871.15,,2009-05-31,976.74,0.01,-18.83,-0.15,signal,13
LONG,2009-09-06,994.25,913.13,,2009-09-13,1006.86,0.01,12.24,0.15,signal,0
LONG,2009-09-13,1006.86,925.58,,2009-10-11,1052.29,0.01,45.06,0.55,signal,3
LONG,2009-10-11,1052.29,970.11,,2009-11-08,1096.22,0.01,43.56,0.53,signal,3
LONG,2009-11-08,1096.22,1017.51,,2009-11-15,1124.11,0.01,27.52,0.35,signal,0
LONG,2009-11-15,1124.11,1042.14,,2009-11-22,1159.16,0.01,34.68,0.42,signal,0
LONG,2009-11-22,1159.16,1074.41,,2009-11-29,1169.2,0.01,9.67,0.11,signal,0
LONG,2009-11-29,1169.2,1099.54,,2010-02-07,1065.28,0.01,-104.29,-1.5,signal,9
