dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-06-18 16:00:00,394.6,390.65,,2004-06-24 16:00:00,400.1,0.25,128.25,1.3,signal,23
LONG,2004-06-24 16:00:00,400.1,395.46,,2004-06-24 20:00:00,401.8,0.21,27.93,0.29,signal,0
LONG,2004-06-24 20:00:00,401.8,397.29,,2004-06-28 16:00:00,404.1,0.22,42.46,0.43,signal,10
LONG,2004-06-28 16:00:00,404.1,399.12,,2004-06-28 20:00:00,399.8,0.2,-93.4,-0.94,signal,0
SHORT,2004-06-29 20:00:00,391.8,396.7,,2004-07-02 12:00:00,398.11,0.2,-133.58,-1.36,stop,15
LONG,2004-07-07 20:00:00,401.8,396.34,,2004-07-08 16:00:00,405.0,0.18,50.94,0.52,signal,4
LONG,2004-07-08 16:00:00,405.0,399.65,,2004-07-08 20:00:00,407.3,0.18,34.74,0.36,signal,0
LONG,2004-07-08 20:00:00,407.3,401.99,,2004-07-13 08:00:00,403.6,0.18,-73.26,-0.77,signal,14
LONG,2004-07-16 16:00:00,406.8,402.45,,2004-07-20 12:00:00,401.52,0.22,-124.41,-1.3,stop,10
SHORT,2004-07-20 16:00:00,399.8,403.95,,2004-07-21 20:00:00,396.3,0.23,71.99,0.75,signal,6
SHORT,2004-07-21 20:00:00,396.3,401.21,,2004-07-23 00:00:00,394.3,0.2,32.6,0.33,signal,6
SHORT,2004-07-23 00:00:00,394.3,397.88,,2004-07-23 16:00:00,390.8,0.27,84.51,0.87,signal,3
SHORT,2004-07-23 16:00:00,390.8,395.7,,2004-07-27 20:00:00,386.6,0.2,76.6,0.78,signal,12
SHORT,2004-07-27 20:00:00,386.6,390.82,,2004-07-30 12:00:00,391.45,0.23,-120.1,-1.24,stop,15
LONG,2004-08-02 04:00:00,392.1,387.39,,2004-08-06 16:00:00,398.6,0.21,128.73,1.3,signal,26
LONG,2004-08-06 16:00:00,398.6,394.41,,2004-08-11 04:00:00,395.8,0.24,-76.08,-0.76,signal,14
LONG,2004-08-16 16:00:00,401.8,397.22,,2004-08-17 20:00:00,403.8,0.21,34.23,0.36,signal,6
LONG,2004-08-17 20:00:00,403.8,399.45,,2004-08-19 12:00:00,405.0,0.23,19.09,0.19,signal,9
LONG,2004-08-19 12:00:00,405.0,401.67,,2004-08-19 16:00:00,407.1,0.3,51.9,0.52,signal,0
