dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-07-08,401.8,385.65,434.11,2004-07-27,385.65,0.06,-99.14,-1.02,stop,12
LONG,2004-08-10,399.6,381.74,435.92,2004-10-21,423.1,0.05,115.65,1.3,time,50
LONG,2004-10-21,423.1,406.46,456.37,2005-01-06,426.1,0.06,15.78,0.16,time,50
LONG,2005-03-09,439.8,425.91,468.17,2005-03-22,425.91,0.07,-99.8,-1.03,stop,8
LONG,2005-04-20,433.1,419.46,460.39,2005-05-13,419.46,0.07,-98.09,-1.03,stop,16
SHORT,2005-05-13,420.8,438.47,385.46,2005-06-17,438.47,0.05,-90.21,-1.02,stop,23
LONG,2005-09-06,444.2,426.49,478.41,2005-10-12,478.41,0.05,169.21,1.91,target,25
LONG,2005-11-17,479.6,451.72,532.66,2005-12-12,532.66,0.03,158.07,1.89,target,13
LONG,2006-01-04,534.6,484.86,631.08,2006-03-20,554.2,0.02,38.46,0.39,time,50
LONG,2006-03-27,559.5,533.41,611.98,2006-04-17,611.98,0.03,156.33,2.0,target,13
LONG,2006-04-27,639.6,582.92,750.26,2006-06-13,582.92,0.01,-57.05,-1.01,stop,31
LONG,2006-08-07,646.0,594.18,749.64,2006-09-11,594.18,0.01,-52.19,-1.01,stop,23
LONG,2006-11-10,634.0,585.42,733.26,2007-01-26,645.1,0.02,21.46,0.22,time,50
LONG,2007-02-09,660.1,635.71,706.19,2007-03-05,635.71,0.04,-99.06,-1.02,stop,15
LONG,2007-03-22,663.8,631.27,727.35,2007-06-04,670.9,0.03,20.19,0.21,time,50
SHORT,2007-06-27,639.8,665.91,588.78,2007-07-12,665.91,0.03,-79.44,-1.01,stop,10
LONG,2007-07-13,666.8,641.11,719.07,2007-09-17,719.07,0.03,155.7,2.02,target,45
LONG,2007-10-08,740.6,714.28,798.04,2007-11-01,798.04,0.03,171.22,2.17,target,17
LONG,2007-12-24,810.4,776.58,880.44,2008-01-08,880.44,0.03,209.0,2.06,target,7
LONG,2008-01-25,913.1,839.28,1058.65,2008-04-07,915.5,0.01,2.03,0.03,time,50
LONG,2008-04-17,944.2,876.56,1080.68,2008-04-29,876.56,0.01,-68.01,-1.01,stop,7
LONG,2008-06-27,914.8,846.96,1055.58,2008-08-11,846.96,0.01,-68.21,-1.01,stop,30
SHORT,2008-09-05,792.9,854.2,670.6,2008-09-17,854.2,0.01,-61.67,-1.01,stop,7
LONG,2008-09-18,867.0,722.33,1145.83,2008-10-22,722.33,0.01,-145.04,-1.0,stop,23
LONG,2008-12-29,875.1,794.6,1011.8,2009-03-11,895.1,0.01,19.63,0.24,time,50
LONG,2009-03-20,952.9,869.3,1123.99,2009-04-06,869.3,0.01,-83.97,-1.0,stop,10
LONG,2009-05-13,924.35,871.72,1023.6,2009-07-24,948.04,0.01,23.32,0.44,time,50
LONG,2009-08-03,952.97,918.65,1023.19,2009-09-17,1023.19,0.02,139.71,2.04,target,32
LONG,2009-11-05,1090.49,1017.58,1240.99,2010-01-19,1135.52,0.01,44.66,0.61,time,50
LONG,2010-02-17,1117.85,1034.04,1288.73,2010-04-30,1169.18,0.01,50.96,0.61,time,50
LONG,2010-06-07,1219.81,1169.86,1319.01,2010-07-27,1169.86,0.02,-100.63,-1.01,stop,35
LONG,2010-08-13,1213.98,1157.32,1326.25,2010-10-05,1326.25,0.01,111.9,1.97,target,36
LONG,2010-11-05,1387.13,1304.19,1565.21,2011-01-19,1368.27,0.01,-19.23,-0.23,time,50
LONG,2011-03-24,1437.65,1371.77,1569.72,2011-05-02,1569.72,0.01,131.7,2.0,target,25
LONG,2011-05-26,1526.25,1460.83,1652.6,2011-08-02,1652.6,0.01,125.98,1.93,target,46
LONG,2011-09-05,1880.85,1679.01,2287.74,2011-09-23,1679.01,0.01,-202.21,-1.0,stop,13
SHORT,2011-12-28,1589.58,1693.99,1391.05,2012-01-25,1693.99,0.01,-104.78,-1.0,stop,18
SHORT,2012-04-05,1620.5,1710.72,1440.23,2012-06-18,1623.08,0.01,-2.95,-0.03,time,50
SHORT,2012-06-27,1572.26,1646.6,1422.42,2012-08-22,1646.6,0.01,-74.71,-1.0,stop,39
LONG,2012-09-03,1689.15,1599.85,1872.7,2012-11-13,1728.2,0.01,38.68,0.43,time,50
SHORT,2012-12-19,1672.3,1732.54,1546.36,2013-03-04,1580.2,0.01,91.73,1.52,time,50
SHORT,2013-03-05,1574.39,1630.98,1458.93,2013-04-15,1458.93,0.01,115.09,2.03,target,27
SHORT,2013-04-15,1482.82,1615.92,1215.16,2013-06-25,1282.54,0.01,199.91,1.5,time,50
SHORT,2013-08-07,1282.12,1360.06,1129.11,2013-08-15,1360.06,0.01,-78.31,-1.0,stop,5
SHORT,2013-10-02,1289.15,1389.63,1086.78,2013-12-12,1253.61,0.01,35.17,0.35,time,50
SHORT,2013-12-19,1217.33,1279.05,1095.34,2014-02-11,1279.05,0.01,-62.09,-1.01,stop,35
SHORT,2014-04-23,1283.86,1339.56,1172.76,2014-07-03,1327.12,0.01,-43.63,-0.78,time,50
LONG,2014-07-14,1338.97,1302.85,1407.79,2014-07-15,1302.85,0.02,-72.98,-1.01,stop,0
SHORT,2014-07-25,1293.91,1346.55,1187.22,2014-10-06,1187.22,0.01,106.32,2.02,target,50
SHORT,2014-10-06,1187.27,1242.5,1090.32,2014-10-15,1242.5,0.01,-55.6,-1.01,stop,6
SHORT,2014-10-30,1210.76,1262.06,1108.18,2015-01-13,1231.85,0.02,-42.92,-0.42,time,50
SHORT,2015-03-06,1199.08,1232.02,1131.37,2015-05-18,1232.02,0.03,-99.92,-1.01,stop,50
SHORT,2015-05-27,1187.16,1239.8,1081.94,2015-07-20,1081.94,0.01,104.85,1.99,target,37
SHORT,2015-07-31,1088.65,1153.5,958.58,2015-08-20,1153.5,0.01,-65.22,-1.01,stop,13
SHORT,2015-09-08,1120.17,1164.24,1028.34,2015-10-12,1164.24,0.02,-88.88,-1.01,stop,23
SHORT,2015-11-26,1071.18,1105.06,1003.18,2016-01-07,1105.06,0.03,-102.74,-1.01,stop,27
LONG,2016-03-04,1262.38,1190.13,1416.28,2016-05-17,1274.08,0.01,11.33,0.16,time,50
LONG,2016-06-09,1261.6,1191.07,1403.38,2016-08-19,1352.11,0.01,90.14,1.28,time,50
SHORT,2016-11-11,1259.14,1347.4,1083.08,2017-01-25,1209.31,0.01,49.46,0.56,time,50
LONG,2017-03-22,1245.36,1188.37,1357.81,2017-06-02,1265.68,0.01,19.95,0.35,time,50
SHORT,2017-07-03,1242.12,1264.67,1194.95,2017-07-27,1264.67,0.04,-91.67,-1.02,stop,17
LONG,2017-08-10,1277.32,1245.49,1341.18,2017-09-05,1341.18,0.03,190.48,1.99,target,17
LONG,2017-10-16,1303.33,1254.22,1401.46,2017-12-07,1254.22,0.02,-98.96,-1.01,stop,37
LONG,2018-01-24,1340.92,1302.23,1418.88,2018-04-06,1327.25,0.02,-28.08,-0.36,time,50
SHORT,2018-05-16,1290.69,1332.45,1207.4,2018-07-26,1231.46,0.02,117.72,1.41,time,50
SHORT,2018-08-02,1216.52,1240.86,1166.44,2018-08-16,1166.44,0.04,198.84,2.04,target,9
SHORT,2018-09-28,1183.34,1216.84,1113.88,2018-10-11,1216.84,0.03,-101.61,-1.01,stop,8
SHORT,2018-11-12,1209.41,1243.41,1141.15,2018-12-06,1243.41,0.03,-103.1,-1.01,stop,17
LONG,2018-12-26,1272.38,1227.28,1350.34,2019-03-08,1284.52,0.02,23.54,0.26,time,50
LONG,2019-03-21,1314.15,1274.77,1387.47,2019-04-16,1274.77,0.02,-79.49,-1.01,stop,17
SHORT,2019-05-03,1270.52,1294.04,1223.37,2019-05-13,1294.04,0.04,-95.54,-1.02,stop,5
LONG,2019-05-14,1300.59,1260.74,1377.89,2019-06-20,1377.89,0.02,153.86,1.93,target,26
LONG,2019-07-19,1448.13,1375.12,1586.71,2019-09-30,1496.25,0.01,47.75,0.65,time,50
LONG,2019-12-24,1485.2,1454.03,1548.07,2020-01-03,1548.07,0.03,187.51,2.01,target,5
LONG,2020-02-03,1588.65,1538.29,1689.91,2020-03-06,1689.91,0.02,201.77,2.0,target,23
LONG,2020-03-06,1671.61,1548.52,1917.71,2020-03-13,1548.52,0.01,-123.46,-1.0,stop,4
LONG,2020-04-03,1614.39,1442.81,1949.36,2020-06-16,1725.27,0.01,110.51,0.64,time,50
LONG,2020-06-22,1747.68,1664.61,1897.56,2020-07-23,1897.56,0.01,149.51,1.8,target,22
LONG,2020-10-22,1924.65,1868.18,2037.44,2020-10-29,1868.18,0.01,-56.84,-1.01,stop,4
LONG,2020-11-06,1946.29,1845.72,2156.08,2020-11-23,1845.72,0.01,-100.94,-1.0,stop,10
LONG,2020-12-31,1893.47,1831.78,2017.87,2021-01-08,1831.78,0.01,-62.06,-1.01,stop,4
SHORT,2021-02-05,1795.17,1890.3,1598.75,2021-04-20,1770.9,0.01,23.9,0.25,time,50
