dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-06-17 20:00:00,388.3,381.56,401.78,2004-06-24 12:00:00,401.78,0.14,183.56,1.95,target,27
LONG,2004-06-24 16:00:00,400.1,391.07,418.17,2004-06-29 16:00:00,391.07,0.11,-103.43,-1.04,stop,17
LONG,2004-07-07 16:00:00,399.8,387.11,424.57,2004-07-20 04:00:00,405.1,0.07,34.51,0.39,time,50
SHORT,2004-07-22 20:00:00,394.6,402.49,377.32,2004-08-04 08:00:00,392.1,0.12,25.56,0.27,time,50
LONG,2004-08-06 16:00:00,398.6,388.68,419.04,2004-08-19 04:00:00,404.1,0.1,51.3,0.52,time,50
LONG,2004-08-20 16:00:00,409.8,402.07,426.46,2004-08-24 16:00:00,402.07,0.13,-105.29,-1.05,stop,11
LONG,2004-08-30 20:00:00,406.6,399.67,422.55,2004-09-03 16:00:00,399.67,0.14,-102.13,-1.05,stop,22
SHORT,2004-09-07 16:00:00,396.3,409.25,371.91,2004-09-20 04:00:00,404.6,0.07,-60.69,-0.67,time,50
LONG,2004-09-22 00:00:00,408.3,401.92,424.06,2004-10-04 16:00:00,412.0,0.15,49.95,0.52,time,50
LONG,2004-10-07 08:00:00,418.7,413.51,429.38,2004-10-12 12:00:00,413.51,0.19,-105.62,-1.07,stop,17
LONG,2004-10-19 20:00:00,419.8,413.24,432.91,2004-11-01 12:00:00,427.6,0.15,111.45,1.13,time,50
LONG,2004-11-04 04:00:00,427.3,415.6,450.4,2004-11-17 00:00:00,438.1,0.08,83.44,0.89,time,50
LONG,2004-11-19 16:00:00,445.3,438.7,458.5,2004-12-07 00:00:00,451.6,0.15,88.95,0.9,time,50
SHORT,2004-12-09 16:00:00,436.3,451.63,405.64,2004-12-22 04:00:00,441.1,0.06,-31.02,-0.34,time,50
LONG,2004-12-27 08:00:00,442.6,437.54,450.31,2004-12-29 12:00:00,437.54,0.2,-108.51,-1.07,stop,12
SHORT,2004-12-30 12:00:00,434.6,444.44,414.62,2005-01-13 04:00:00,426.0,0.1,82.3,0.84,time,50
SHORT,2005-01-14 12:00:00,421.3,427.43,408.75,2005-01-21 16:00:00,427.43,0.16,-103.95,-1.06,stop,24
SHORT,2005-02-01 12:00:00,420.7,427.33,407.14,2005-02-14 00:00:00,420.5,0.15,-2.55,-0.03,time,50
LONG,2005-02-15 20:00:00,425.3,420.78,434.34,2005-02-22 16:00:00,434.34,0.22,190.72,1.92,target,19
LONG,2005-02-24 04:00:00,433.8,429.73,441.95,2005-03-02 08:00:00,429.73,0.24,-106.63,-1.09,stop,24
LONG,2005-03-10 04:00:00,441.8,433.96,457.19,2005-03-21 12:00:00,433.96,0.12,-98.57,-1.05,stop,43
SHORT,2005-03-28 16:00:00,423.5,427.04,415.81,2005-03-29 08:00:00,427.04,0.28,-109.55,-1.1,stop,3
SHORT,2005-04-04 16:00:00,423.6,429.06,414.49,2005-04-11 12:00:00,429.06,0.18,-104.88,-1.07,stop,28
SHORT,2005-04-18 04:00:00,423.0,427.67,413.06,2005-04-19 12:00:00,427.67,0.2,-100.77,-1.08,stop,7
LONG,2005-04-26 16:00:00,436.8,430.86,448.68,2005-04-28 12:00:00,430.86,0.16,-100.92,-1.06,stop,10
SHORT,2005-05-09 08:00:00,424.8,431.64,410.83,2005-05-19 20:00:00,420.3,0.13,53.69,0.6,time,50
SHORT,2005-05-20 16:00:00,417.8,423.54,406.32,2005-06-03 12:00:00,423.54,0.16,-97.72,-1.06,stop,48
LONG,2005-06-13 16:00:00,428.8,420.81,444.78,2005-06-24 04:00:00,440.5,0.11,124.63,1.42,time,50
SHORT,2005-07-08 20:00:00,422.8,429.22,409.36,2005-07-21 08:00:00,422.8,0.15,-5.55,-0.06,time,50
SHORT,2005-07-27 00:00:00,423.0,427.09,414.22,2005-07-28 16:00:00,427.09,0.23,-102.55,-1.09,stop,9
LONG,2005-07-29 00:00:00,427.5,420.85,441.09,2005-08-10 12:00:00,435.8,0.14,111.02,1.19,time,50
LONG,2005-08-11 00:00:00,437.0,432.02,446.35,2005-08-11 16:00:00,446.35,0.19,170.62,1.81,target,3
LONG,2005-08-17 04:00:00,445.2,439.13,458.24,2005-08-17 16:00:00,439.13,0.16,-103.06,-1.06,stop,2
LONG,2005-08-24 16:00:00,439.6,436.47,446.46,2005-08-26 16:00:00,436.47,0.3,-105.07,-1.12,stop,11
LONG,2005-08-29 08:00:00,439.6,435.18,448.14,2005-08-30 08:00:00,435.18,0.21,-100.6,-1.08,stop,5
LONG,2005-09-01 16:00:00,439.3,429.7,458.5,2005-09-15 16:00:00,454.5,0.09,133.47,1.54,time,50
LONG,2005-09-22 00:00:00,472.3,461.83,491.13,2005-09-23 12:00:00,461.83,0.09,-97.52,-1.04,stop,8
