dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2004-06-15,382.8,388.05,,2004-06-16,388.05,0.19,-106.78,-1.07,stop,0
LONG,2004-06-16,387.1,382.65,,2004-06-29,393.47,0.22,131.91,1.35,stop,8
SHORT,2008-09-04,801.3,854.84,,2008-09-17,802.72,0.01,-1.79,-0.03,stop,8
LONG,2009-01-28,898.9,832.22,,2009-02-26,932.49,0.01,33.22,0.5,stop,20
SHORT,2012-05-16,1544.33,1600.17,,2012-06-01,1606.73,0.01,-62.77,-1.12,stop,11
LONG,2012-09-05,1695.35,1647.89,,2012-10-15,1734.06,0.02,76.69,0.81,stop,27
SHORT,2013-02-15,1634.03,1677.47,,2013-02-26,1615.04,0.02,37.24,0.43,stop,6
LONG,2016-02-22,1224.92,1176.18,,2016-03-24,1213.54,0.02,-23.5,-0.24,stop,22
SHORT,2016-11-25,1184.9,1231.24,,2017-01-05,1173.96,0.02,21.13,0.23,stop,26
LONG,2017-04-12,1273.74,1242.06,,2017-05-01,1257.57,0.03,-49.62,-0.52,stop,11
SHORT,2018-06-22,1267.38,1294.92,,2018-08-22,1197.53,0.03,208.43,2.52,stop,42
LONG,2019-01-09,1284.62,1256.26,,2019-02-28,1314.26,0.03,87.8,1.03,stop,35
SHORT,2021-03-05,1697.83,1775.03,,2021-04-08,1757.69,0.01,-60.23,-0.78,stop,22
LONG,2021-05-24,1881.41,1822.42,,2021-06-14,1849.65,0.01,-32.13,-0.54,stop,14
SHORT,2021-08-10,1728.91,1790.23,,2021-08-23,1797.24,0.01,-68.7,-1.12,stop,8
LONG,2021-11-17,1850.24,1793.12,,2021-11-22,1804.34,0.01,-46.27,-0.81,stop,2
SHORT,2021-12-07,1778.93,1836.11,,2021-12-28,1817.11,0.01,-38.55,-0.67,stop,13
LONG,2022-01-03,1830.63,1779.45,,2022-01-27,1798.25,0.01,-32.75,-0.64,stop,17
SHORT,2022-07-04,1811.41,1869.95,,2022-07-28,1755.19,0.01,55.85,0.95,stop,17
LONG,2023-01-05,1854.48,1795.15,,2023-02-03,1882.53,0.01,27.68,0.47,stop,20
SHORT,2023-10-06,1820.41,1863.24,,2023-10-09,1863.24,0.02,-86.4,-1.01,stop,0
LONG,2023-10-23,1968.07,1925.74,,2023-11-10,1941.17,0.02,-54.53,-0.64,stop,13
