dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2004-06-11 12:00:00,383.5,386.16,,2004-06-11 16:00:00,384.3,0.37,-43.29,-0.44,signal,0
LONG,2004-06-11 16:00:00,384.3,382.0,,2004-06-14 04:00:00,382.6,0.43,-89.01,-0.9,signal,1
SHORT,2004-06-14 04:00:00,382.6,385.34,,2004-06-14 12:00:00,385.21,0.36,-107.18,-1.09,stop,1
LONG,2004-06-16 00:00:00,387.1,384.59,,2004-06-16 12:00:00,384.18,0.38,-125.13,-1.31,stop,2
SHORT,2004-07-28 00:00:00,386.1,392.41,,2004-07-30 12:00:00,391.45,0.15,-85.83,-0.91,stop,14
LONG,2004-08-10 08:00:00,398.6,393.51,,2004-08-11 12:00:00,395.0,0.18,-71.54,-0.78,stop,6
SHORT,2005-01-04 04:00:00,428.7,434.2,,2005-01-12 12:00:00,423.31,0.17,85.36,0.91,stop,37
LONG,2005-02-23 04:00:00,433.6,428.7,,2005-03-01 12:00:00,432.16,0.19,-34.37,-0.37,stop,25
SHORT,2005-03-28 08:00:00,424.6,429.22,,2005-04-06 16:00:00,426.56,0.2,-46.59,-0.5,stop,43
LONG,2005-04-21 20:00:00,432.3,427.44,,2005-04-27 16:00:00,432.03,0.19,-12.08,-0.13,stop,22
SHORT,2005-05-06 20:00:00,425.6,430.81,,2005-05-19 04:00:00,422.74,0.18,44.87,0.48,stop,49
LONG,2005-06-14 00:00:00,427.7,424.01,,2005-06-21 00:00:00,435.82,0.25,193.69,2.1,stop,29
SHORT,2005-07-08 08:00:00,423.0,427.34,,2005-07-12 04:00:00,426.81,0.22,-92.04,-0.96,stop,10
LONG,2005-08-02 04:00:00,432.2,429.26,,2005-08-08 16:00:00,434.96,0.32,76.42,0.81,stop,26
SHORT,2005-11-07 12:00:00,457.2,462.06,,2005-11-08 12:00:00,461.73,0.19,-93.05,-1.01,stop,5
LONG,2005-11-11 16:00:00,465.8,461.37,,2005-12-01 00:00:00,493.24,0.21,568.43,6.11,stop,57
SHORT,2006-03-14 00:00:00,546.2,554.22,,2006-03-14 16:00:00,549.13,0.12,-39.61,-0.41,stop,3
LONG,2006-03-16 04:00:00,551.5,542.69,,2006-03-21 16:00:00,547.27,0.11,-50.61,-0.52,stop,20
SHORT,2006-06-02 20:00:00,634.2,655.81,,2006-06-14 08:00:00,566.0,0.04,271.33,3.14,stop,44
LONG,2006-07-10 00:00:00,628.5,616.38,,2006-07-17 12:00:00,659.33,0.08,243.65,2.51,stop,32
SHORT,2006-08-18 04:00:00,613.0,624.01,,2006-08-21 08:00:00,620.59,0.09,-71.65,-0.72,stop,6
LONG,2006-10-30 20:00:00,607.0,596.19,,2006-11-08 16:00:00,616.74,0.09,84.29,0.87,stop,40
SHORT,2006-12-21 20:00:00,618.2,625.37,,2006-12-26 12:00:00,625.57,0.14,-108.43,-1.08,stop,6
LONG,2006-12-27 20:00:00,627.1,620.54,,2007-01-03 12:00:00,633.98,0.15,97.62,0.99,stop,19
SHORT,2007-01-08 12:00:00,608.0,618.08,,2007-01-11 12:00:00,615.63,0.1,-79.96,-0.79,stop,17
LONG,2007-01-18 12:00:00,632.6,624.45,,2007-01-26 08:00:00,643.68,0.12,128.49,1.31,stop,34
SHORT,2007-03-09 04:00:00,650.5,662.54,,2007-03-15 16:00:00,649.53,0.08,4.8,0.05,stop,26
LONG,2007-03-22 00:00:00,663.8,655.21,,2007-03-23 12:00:00,657.23,0.12,-83.27,-0.81,stop,8
SHORT,2007-05-15 20:00:00,672.5,680.99,,2007-05-22 08:00:00,663.79,0.12,100.1,0.98,stop,20
LONG,2007-07-12 12:00:00,663.3,657.27,,2007-07-25 00:00:00,679.88,0.17,275.52,2.69,stop,50
