dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-08-09,399.1,381.65,433.1,2004-11-03,420.7,0.05,106.15,1.22,time,60
LONG,2004-12-14,438.6,428.22,459.97,2005-01-03,428.22,0.09,-96.77,-1.04,stop,11
LONG,2005-02-15,424.7,407.35,461.2,2005-05-13,420.8,0.05,-21.35,-0.25,time,60
LONG,2005-06-07,425.6,411.2,454.4,2005-08-31,431.0,0.06,30.18,0.35,time,60
LONG,2005-09-02,442.5,426.5,475.4,2005-10-07,475.4,0.06,195.16,2.03,target,23
LONG,2005-10-24,465.6,456.28,486.34,2005-11-04,456.28,0.1,-96.89,-1.04,stop,8
LONG,2005-11-09,460.2,451.63,478.84,2005-11-17,478.84,0.11,200.96,2.13,target,5
LONG,2006-02-17,547.6,528.59,588.92,2006-03-30,588.92,0.05,204.76,2.15,target,27
LONG,2006-07-03,617.0,561.38,722.84,2006-09-28,602.6,0.01,-14.77,-0.27,time,60
LONG,2006-10-20,599.2,562.48,674.14,2007-01-19,627.7,0.02,56.26,0.77,time,60
LONG,2007-03-08,647.2,626.01,695.57,2007-06-04,670.9,0.04,93.32,1.1,time,60
LONG,2007-06-04,670.9,647.37,718.86,2007-06-08,647.37,0.04,-95.6,-1.02,stop,3
LONG,2007-07-10,660.0,638.62,703.36,2007-09-07,703.36,0.04,171.98,2.01,target,42
LONG,2007-11-21,801.9,763.08,879.84,2008-01-08,879.84,0.02,155.14,2.0,target,30
LONG,2008-03-26,938.0,892.16,1032.39,2008-04-01,892.16,0.02,-92.43,-1.01,stop,3
LONG,2008-04-10,932.7,859.6,1082.2,2008-05-01,859.6,0.01,-73.47,-1.01,stop,14
LONG,2008-05-19,905.1,849.55,1007.2,2008-08-11,849.55,0.01,-55.92,-1.01,stop,58
SHORT,2008-10-17,800.2,952.15,512.2,2009-01-15,812.3,0.01,-12.47,-0.08,time,60
SHORT,2009-01-15,812.3,896.71,639.57,2009-01-23,896.71,0.01,-84.78,-1.0,stop,5
LONG,2009-03-06,930.3,886.09,1024.11,2009-03-18,886.09,0.02,-89.15,-1.01,stop,7
LONG,2009-03-19,935.0,869.66,1072.28,2009-04-06,869.66,0.01,-65.71,-1.01,stop,11
LONG,2009-04-24,903.9,855.15,1000.06,2009-07-21,950.48,0.02,92.42,0.95,time,60
LONG,2009-08-03,952.97,918.65,1023.19,2009-09-17,1023.19,0.03,209.56,2.04,target,32
LONG,2009-12-17,1139.32,1097.33,1218.86,2009-12-18,1097.33,0.02,-84.72,-1.01,stop,0
LONG,2009-12-29,1105.19,1062.84,1199.19,2010-02-04,1062.84,0.02,-85.44,-1.01,stop,25
LONG,2010-02-17,1117.85,1034.04,1288.73,2010-05-14,1234.3,0.01,116.08,1.39,time,60
LONG,2010-07-12,1211.08,1174.75,1285.12,2010-07-27,1174.75,0.02,-73.4,-1.01,stop,10
LONG,2010-08-09,1205.3,1148.55,1317.83,2010-10-01,1317.83,0.01,112.16,1.98,target,38
LONG,2010-11-19,1361.25,1316.97,1427.32,2010-12-07,1427.32,0.02,131.39,1.48,target,11
LONG,2011-01-12,1382.98,1343.94,1455.79,2011-01-20,1343.94,0.02,-78.83,-1.01,stop,5
LONG,2011-02-09,1361.82,1298.19,1494.19,2011-04-18,1494.19,0.01,132.0,2.07,target,47
LONG,2011-06-30,1511.25,1482.05,1570.77,2011-07-01,1482.05,0.03,-88.72,-1.01,stop,0
LONG,2011-07-06,1514.67,1468.59,1609.36,2011-07-19,1609.36,0.02,188.63,2.05,target,8
LONG,2011-07-19,1604.93,1482.77,1849.05,2011-08-19,1849.05,0.01,243.75,2.0,target,22
LONG,2011-10-26,1705.38,1581.09,1951.58,2011-12-14,1581.09,0.01,-124.66,-1.0,stop,34
LONG,2012-01-24,1675.7,1612.06,1807.33,2012-04-20,1642.28,0.01,-33.79,-0.53,time,60
SHORT,2012-06-08,1589.66,1655.13,1458.15,2012-08-22,1655.13,0.01,-65.84,-1.01,stop,52
LONG,2012-11-01,1719.89,1689.66,1781.64,2012-11-02,1689.66,0.03,-91.81,-1.01,stop,0
LONG,2012-11-20,1731.1,1695.25,1804.38,2012-12-04,1695.25,0.03,-108.65,-1.01,stop,9
LONG,2013-01-23,1693.1,1644.24,1787.31,2013-02-11,1644.24,0.02,-98.46,-1.01,stop,12
SHORT,2013-07-25,1321.71,1360.75,1244.72,2013-08-15,1360.75,0.02,-78.81,-1.01,stop,14
SHORT,2013-09-13,1323.63,1429.52,1106.99,2013-12-09,1231.01,0.01,92.25,0.87,time,60
SHORT,2014-01-16,1241.63,1264.51,1195.77,2014-01-23,1264.51,0.04,-93.01,-1.02,stop,4
SHORT,2014-01-31,1243.84,1288.51,1153.31,2014-02-11,1288.51,0.02,-90.07,-1.01,stop,6
SHORT,2014-03-27,1304.1,1398.29,1116.24,2014-06-23,1314.38,0.01,-10.65,-0.11,time,60
SHORT,2014-07-16,1294.92,1352.55,1178.43,2014-10-09,1219.81,0.01,74.74,1.3,time,60
SHORT,2014-10-23,1241.5,1262.13,1199.79,2014-10-30,1199.79,0.05,206.68,2.0,target,4
SHORT,2014-11-20,1182.28,1215.0,1118.33,2014-12-01,1215.0,0.03,-99.28,-1.01,stop,6
SHORT,2014-12-08,1187.34,1231.87,1111.87,2014-12-09,1231.87,0.02,-89.8,-1.01,stop,0
SHORT,2014-12-16,1193.08,1249.48,1077.47,2015-01-15,1249.48,0.01,-56.77,-1.01,stop,19
SHORT,2015-02-11,1234.04,1296.54,1106.58,2015-05-07,1191.51,0.01,42.16,0.67,time,60
SHORT,2015-05-08,1184.15,1223.01,1106.64,2015-05-14,1223.01,0.02,-78.46,-1.01,stop,3
SHORT,2015-05-27,1187.16,1239.8,1081.94,2015-07-20,1081.94,0.01,104.85,1.99,target,37
SHORT,2015-08-27,1125.89,1178.94,1016.43,2015-10-14,1178.94,0.02,-106.84,-1.01,stop,33
SHORT,2015-10-30,1145.64,1190.76,1055.82,2015-11-27,1055.82,0.02,178.9,1.98,target,19
SHORT,2016-01-15,1078.22,1120.92,989.69,2016-01-26,1120.92,0.02,-86.15,-1.01,stop,6
LONG,2016-03-30,1241.41,1196.76,1328.64,2016-06-23,1263.54,0.02,43.52,0.49,time,60
LONG,2016-06-27,1326.11,1237.9,1471.21,2016-09-20,1313.18,0.01,-13.3,-0.15,time,60
LONG,2016-09-22,1333.89,1298.67,1410.42,2016-10-04,1298.67,0.03,-106.78,-1.01,stop,7
LONG,2016-11-03,1298.27,1253.47,1383.12,2016-11-10,1253.47,0.02,-90.33,-1.01,stop,4
SHORT,2017-01-27,1189.02,1226.79,1111.56,2017-02-06,1226.79,0.02,-76.28,-1.01,stop,5
SHORT,2017-03-08,1215.85,1270.47,1106.22,2017-04-07,1270.47,0.01,-54.99,-1.01,stop,21
LONG,2017-05-29,1267.29,1230.21,1340.4,2017-07-03,1230.21,0.02,-74.9,-1.01,stop,24
LONG,2017-07-24,1255.3,1207.52,1349.05,2017-09-07,1349.05,0.02,186.76,1.95,target,32
LONG,2017-09-26,1309.55,1280.91,1369.03,2017-09-28,1280.91,0.03,-87.04,-1.01,stop,1
LONG,2017-10-16,1303.33,1254.22,1401.46,2017-12-07,1254.22,0.02,-98.96,-1.01,stop,37
LONG,2017-12-27,1282.27,1245.06,1359.12,2018-01-24,1359.12,0.02,152.96,2.06,target,18
LONG,2018-02-13,1323.63,1299.68,1369.21,2018-05-10,1312.19,0.04,-47.24,-0.49,time,60
SHORT,2018-09-24,1198.88,1218.44,1160.41,2018-10-11,1218.44,0.05,-99.66,-1.02,stop,12
SHORT,2018-11-01,1215.3,1249.35,1144.75,2018-12-07,1249.35,0.03,-103.25,-1.01,stop,25
LONG,2019-03-11,1296.85,1274.81,1345.08,2019-04-16,1274.81,0.04,-89.66,-1.02,stop,25
LONG,2019-05-14,1300.59,1260.74,1377.89,2019-06-20,1377.89,0.02,153.86,1.93,target,26
LONG,2019-10-03,1498.96,1447.15,1605.46,2019-11-12,1447.15,0.01,-52.18,-1.01,stop,27
LONG,2019-12-04,1476.47,1442.94,1546.08,2020-01-03,1546.08,0.03,207.71,2.07,target,19
LONG,2020-03-25,1630.56,1424.44,2027.11,2020-06-19,1722.81,0.01,91.88,0.45,time,60
LONG,2020-08-27,1951.92,1880.58,2098.26,2020-09-23,1880.58,0.01,-71.71,-1.01,stop,18
LONG,2020-10-12,1926.89,1857.15,2075.31,2020-11-09,1857.15,0.01,-70.11,-1.01,stop,19
LONG,2020-12-09,1869.35,1750.16,2112.18,2021-02-26,1750.16,0.01,-119.56,-1.0,stop,54
SHORT,2021-08-26,1791.03,1820.25,1730.49,2021-08-30,1820.25,0.03,-88.77,-1.01,stop,1
SHORT,2021-09-09,1789.54,1844.28,1679.31,2021-11-10,1844.28,0.01,-55.11,-1.01,stop,43
SHORT,2021-12-10,1775.99,1819.44,1686.51,2021-12-28,1819.44,0.02,-87.64,-1.01,stop,10
LONG,2022-01-12,1820.14,1772.9,1918.49,2022-02-24,1918.49,0.02,195.95,2.07,target,30
LONG,2022-03-31,1933.15,1873.03,2053.34,2022-04-28,1873.03,0.01,-60.49,-1.01,stop,18
SHORT,2022-08-16,1779.64,1819.2,1699.87,2022-09-01,1699.87,0.02,158.8,2.01,target,11
