dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2004-06-14 03:00:00,382.8,385.26,378.48,2004-06-14 14:00:00,385.26,0.4,-113.16,-1.15,stop,10
SHORT,2004-06-15 09:00:00,382.1,384.29,377.42,2004-06-15 14:00:00,384.29,0.45,-115.24,-1.17,stop,4
LONG,2004-06-22 11:00:00,394.1,391.75,398.51,2004-06-24 14:00:00,398.51,0.41,165.45,1.72,target,48
SHORT,2004-07-01 06:00:00,393.6,395.54,389.72,2004-07-01 12:00:00,395.54,0.51,-117.78,-1.19,stop,5
SHORT,2004-07-02 09:00:00,394.3,396.6,389.1,2004-07-02 14:00:00,396.6,0.42,-112.12,-1.16,stop,4
SHORT,2004-07-02 14:00:00,393.0,395.48,387.43,2004-07-02 15:00:00,395.48,0.39,-111.28,-1.15,stop,0
LONG,2004-07-07 10:00:00,395.8,391.13,404.24,2004-07-08 14:00:00,404.24,0.2,161.36,1.73,target,26
LONG,2004-07-12 18:00:00,406.3,404.55,409.8,2004-07-13 04:00:00,404.55,0.55,-116.72,-1.21,stop,8
LONG,2004-07-14 15:00:00,405.1,401.19,412.92,2004-07-15 15:00:00,401.19,0.24,-102.73,-1.09,stop,22
LONG,2004-07-15 15:00:00,402.8,400.82,411.26,2004-07-20 08:00:00,405.3,0.48,102.24,1.08,time,60
LONG,2004-07-20 09:00:00,405.8,404.38,409.25,2004-07-20 13:00:00,404.38,0.67,-120.21,-1.26,stop,3
SHORT,2004-07-27 15:00:00,391.1,393.71,385.89,2004-07-27 16:00:00,385.89,0.36,174.25,1.86,target,0
SHORT,2004-07-27 16:00:00,390.1,393.72,382.87,2004-07-30 08:00:00,387.6,0.26,55.38,0.59,time,60
SHORT,2004-08-03 11:00:00,389.6,391.82,385.17,2004-08-03 18:00:00,391.82,0.43,-111.22,-1.17,stop,6
SHORT,2004-08-06 07:00:00,391.3,392.51,388.29,2004-08-06 15:00:00,392.51,0.79,-124.43,-1.31,stop,7
LONG,2004-08-12 11:00:00,396.3,394.3,399.4,2004-08-12 15:00:00,394.3,0.47,-111.42,-1.18,stop,3
LONG,2004-08-16 15:00:00,402.0,396.93,413.05,2004-08-19 08:00:00,403.8,0.18,25.74,0.28,time,60
