dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2005-06-01,416.6,487.73,,2005-07-01,434.2,0.01,-17.97,-0.25,signal,0
LONG,2005-07-01,434.2,362.42,,2005-08-01,429.2,0.01,-5.37,-0.07,signal,0
SHORT,2005-08-01,429.2,500.17,,2005-09-01,434.8,0.01,-5.97,-0.08,signal,0
LONG,2005-09-01,434.8,364.4,,2006-06-01,568.92,0.01,133.75,1.9,stop,8
SHORT,2006-10-01,598.2,743.28,,2006-12-01,646.1,0.01,-48.27,-0.33,signal,1
LONG,2006-12-01,646.1,502.21,,2008-08-01,780.55,0.01,134.08,0.93,stop,19
SHORT,2008-09-01,833.8,1054.85,,2009-01-01,874.2,0.01,-40.77,-0.18,signal,3
LONG,2009-01-01,874.2,564.3,,2012-01-01,1567.37,0.01,692.8,2.24,signal,35
SHORT,2012-01-01,1567.37,1987.21,,2012-02-01,1738.07,0.01,-171.07,-0.41,signal,0
LONG,2012-02-01,1738.07,1306.0,,2012-04-01,1671.34,0.01,-67.1,-0.16,signal,1
SHORT,2012-04-01,1671.34,2080.98,,2012-09-01,1689.15,0.01,-18.18,-0.04,signal,4
LONG,2012-09-01,1689.15,1313.01,,2013-02-01,1663.93,0.01,-25.59,-0.07,signal,4
SHORT,2013-02-01,1663.93,2004.84,,2014-03-01,1335.44,0.01,328.12,0.96,signal,12
LONG,2014-03-01,1335.44,959.76,,2014-04-01,1284.67,0.01,-51.14,-0.14,signal,0
SHORT,2014-04-01,1284.67,1646.92,,2014-07-01,1326.64,0.01,-42.34,-0.12,signal,2
LONG,2014-07-01,1326.64,991.25,,2014-10-01,1208.21,0.01,-118.8,-0.35,signal,2
SHORT,2014-10-01,1208.21,1516.95,,2015-02-01,1280.42,0.01,-72.58,-0.24,signal,3
LONG,2015-02-01,1280.42,974.34,,2015-03-01,1213.85,0.01,-66.94,-0.22,signal,0
SHORT,2015-03-01,1213.85,1520.32,,2016-03-01,1239.05,0.01,-25.57,-0.08,signal,11
LONG,2016-03-01,1239.05,970.92,,2016-12-01,1173.73,0.01,-65.69,-0.24,signal,8
SHORT,2016-12-01,1173.73,1448.45,,2017-05-01,1268.56,0.01,-95.2,-0.35,signal,4
LONG,2017-05-01,1268.56,1018.18,,2018-06-01,1298.89,0.01,29.96,0.12,signal,12
SHORT,2018-06-01,1298.89,1499.92,,2019-01-01,1282.21,0.01,16.31,0.08,signal,6
LONG,2019-01-01,1282.21,1094.13,,2020-12-01,1776.97,0.01,494.39,2.63,signal,22
SHORT,2020-12-01,1776.97,2135.34,,2021-01-01,1909.07,0.01,-132.47,-0.37,signal,0
LONG,2021-01-01,1909.07,1533.22,,2021-03-01,1737.79,0.01,-171.65,-0.46,signal,1
SHORT,2021-03-01,1737.79,2107.21,,2021-06-01,1907.26,0.01,-169.84,-0.46,signal,2
LONG,2021-06-01,1907.26,1542.57,,2021-07-01,1770.03,0.01,-137.6,-0.38,signal,0
SHORT,2021-07-01,1770.03,2143.25,,2021-08-01,1814.6,0.01,-44.94,-0.12,signal,0
LONG,2021-08-01,1814.6,1452.71,,2021-10-01,1755.82,0.01,-59.15,-0.16,signal,1
SHORT,2021-10-01,1755.82,2122.53,,2022-01-01,1830.63,0.01,-75.18,-0.21,signal,2
LONG,2022-01-01,1830.63,1482.94,,2022-02-01,1797.51,0.01,-33.49,-0.1,signal,0
SHORT,2022-02-01,1797.51,2133.02,,2022-03-01,1908.3,0.01,-111.16,-0.33,signal,0
LONG,2022-03-01,1908.3,1556.31,,2022-07-01,1806.65,0.01,-102.02,-0.29,signal,3
SHORT,2022-07-01,1806.65,2163.86,,2023-01-01,1826.57,0.01,-20.29,-0.06,signal,5
LONG,2023-01-01,1826.57,1470.44,,2023-10-01,1846.45,0.01,19.51,0.05,signal,8
SHORT,2023-10-01,1846.45,2198.8,,2023-11-01,1983.46,0.01,-137.38,-0.39,signal,0
