dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
SHORT,2005-05-15,419.8,449.77,,2005-06-19,437.0,0.03,-52.71,-0.59,signal,4
LONG,2005-06-19,437.0,407.52,,2005-07-03,427.2,0.03,-30.51,-0.34,signal,1
SHORT,2005-07-03,427.2,457.11,,2005-08-07,436.7,0.03,-29.61,-0.33,signal,4
LONG,2005-08-07,436.7,407.71,,2006-05-28,623.3,0.03,558.68,6.42,stop,41
SHORT,2006-09-17,582.2,678.84,,2006-11-05,628.2,0.01,-46.37,-0.48,signal,6
LONG,2006-11-05,628.2,534.92,,2006-12-17,615.6,0.01,-12.97,-0.14,signal,5
SHORT,2006-12-17,615.6,695.14,,2006-12-24,624.5,0.01,-9.27,-0.12,signal,0
LONG,2006-12-24,624.5,541.7,,2007-01-07,608.2,0.01,-16.67,-0.2,signal,1
SHORT,2007-01-07,608.2,686.16,,2007-01-14,625.6,0.01,-17.77,-0.23,signal,0
LONG,2007-01-14,625.6,547.57,,2008-04-27,852.84,0.01,226.87,2.91,stop,66
SHORT,2008-08-10,861.3,997.6,,2008-12-28,875.1,0.01,-14.17,-0.1,signal,19
LONG,2008-12-28,875.1,667.77,,2009-01-18,840.6,0.01,-34.87,-0.17,signal,2
SHORT,2009-01-18,840.6,1027.79,,2009-01-25,896.4,0.01,-56.17,-0.3,signal,0
LONG,2009-01-25,896.4,708.86,,2010-01-31,1065.71,0.01,168.94,0.9,stop,52
SHORT,2011-12-18,1601.92,1868.42,,2012-01-22,1666.22,0.01,-64.67,-0.24,signal,4
LONG,2012-01-22,1666.22,1424.88,,2012-03-18,1660.42,0.01,-6.17,-0.03,signal,7
SHORT,2012-03-18,1660.42,1881.33,,2012-08-26,1671.38,0.01,-11.33,-0.05,signal,22
LONG,2012-08-26,1671.38,1498.47,,2012-12-23,1657.22,0.01,-14.53,-0.08,signal,16
SHORT,2012-12-23,1657.22,1801.82,,2013-01-20,1688.48,0.01,-31.63,-0.22,signal,3
LONG,2013-01-20,1688.48,1545.22,,2013-01-27,1659.66,0.01,-29.19,-0.2,signal,0
SHORT,2013-01-27,1659.66,1795.73,,2013-02-03,1668.8,0.01,-9.51,-0.07,signal,0
LONG,2013-02-03,1668.8,1533.24,,2013-02-17,1609.22,0.01,-59.95,-0.44,signal,1
SHORT,2013-02-17,1609.22,1744.69,,2014-02-16,1320.16,0.01,288.69,2.13,signal,51
LONG,2014-02-16,1320.16,1173.54,,2014-03-30,1293.58,0.01,-26.95,-0.18,signal,5
SHORT,2014-03-30,1293.58,1435.36,,2014-04-06,1302.75,0.01,-9.54,-0.07,signal,0
LONG,2014-04-06,1302.75,1167.18,,2014-04-20,1294.38,0.01,-8.74,-0.06,signal,1
SHORT,2014-04-20,1294.38,1428.32,,2014-04-27,1304.11,0.01,-10.1,-0.08,signal,0
LONG,2014-04-27,1304.11,1170.67,,2014-05-04,1301.12,0.01,-3.36,-0.03,signal,0
SHORT,2014-05-04,1301.12,1429.62,,2014-06-22,1314.38,0.01,-13.63,-0.11,signal,6
LONG,2014-06-22,1314.38,1194.29,,2014-08-24,1278.17,0.01,-36.58,-0.3,signal,8
SHORT,2014-08-24,1278.17,1388.61,,2015-01-18,1284.63,0.01,-6.83,-0.06,stop,20
LONG,2015-01-18,1278.61,1149.68,,2015-02-08,1237.11,0.01,-41.87,-0.32,signal,2
SHORT,2015-02-08,1237.11,1365.74,,2015-05-17,1223.74,0.01,13.0,0.1,signal,13
LONG,2015-05-17,1223.74,1106.67,,2015-05-24,1204.88,0.01,-19.23,-0.16,signal,0
SHORT,2015-05-24,1204.88,1321.62,,2016-02-07,1188.64,0.01,15.87,0.14,stop,36
LONG,2016-02-07,1168.46,1066.49,,2016-10-09,1257.4,0.01,88.57,0.87,signal,34
SHORT,2016-10-09,1257.4,1377.56,,2016-11-06,1292.27,0.01,-35.24,-0.29,signal,3
LONG,2016-11-06,1292.27,1193.91,,2016-11-13,1228.97,0.01,-63.67,-0.65,signal,0
SHORT,2016-11-13,1228.97,1355.03,,2017-04-09,1284.09,0.01,-55.49,-0.44,stop,20
LONG,2017-04-16,1291.28,1182.89,,2017-05-07,1224.98,0.01,-66.67,-0.62,signal,2
SHORT,2017-05-07,1224.98,1329.81,,2017-05-21,1255.04,0.01,-30.43,-0.29,signal,1
LONG,2017-05-21,1255.04,1154.57,,2017-07-09,1213.48,0.01,-41.93,-0.42,signal,6
SHORT,2017-07-09,1213.48,1303.52,,2017-07-23,1255.3,0.01,-42.19,-0.47,signal,1
LONG,2017-07-23,1255.3,1164.51,,2017-12-10,1236.94,0.01,-18.73,-0.21,stop,19
SHORT,2017-12-10,1247.73,1332.55,,2017-12-24,1278.14,0.01,-30.78,-0.36,signal,1
LONG,2017-12-24,1278.14,1192.35,,2018-05-20,1291.52,0.01,13.01,0.15,signal,20
SHORT,2018-05-20,1291.52,1380.74,,2018-12-23,1270.99,0.01,20.16,0.23,stop,30
LONG,2018-12-23,1258.48,1180.78,,2020-03-08,1512.37,0.01,253.52,3.26,stop,62
SHORT,2020-03-22,1490.2,1689.95,,2020-03-29,1619.97,0.01,-130.14,-0.65,signal,0
LONG,2020-03-29,1619.97,1410.75,,2020-11-22,1814.3,0.01,193.96,0.93,stop,33
SHORT,2020-11-29,1789.31,2005.17,,2020-12-06,1836.86,0.01,-47.92,-0.22,signal,0
LONG,2020-12-06,1836.86,1617.83,,2021-01-17,1828.39,0.01,-8.84,-0.04,signal,5
SHORT,2021-01-17,1828.39,2040.2,,2021-01-24,1858.02,0.01,-30.0,-0.14,signal,0
LONG,2021-01-24,1858.02,1643.43,,2021-01-31,1855.57,0.01,-2.82,-0.01,signal,0
SHORT,2021-01-31,1855.57,2053.24,,2021-05-23,1881.41,0.01,-26.21,-0.13,signal,15
LONG,2021-05-23,1881.41,1710.76,,2021-06-20,1768.64,0.01,-113.14,-0.66,signal,3
SHORT,2021-06-20,1768.64,1941.54,,2021-08-29,1818.18,0.01,-49.91,-0.29,signal,9
LONG,2021-08-29,1818.18,1658.69,,2021-09-12,1787.35,0.01,-31.2,-0.2,signal,1
SHORT,2021-09-12,1787.35,1941.71,,2021-10-24,1792.93,0.01,-5.95,-0.04,signal,5
LONG,2021-10-24,1792.93,1641.39,,2021-10-31,1783.36,0.01,-9.94,-0.07,signal,0
SHORT,2021-10-31,1783.36,1931.69,,2021-11-07,1815.69,0.01,-32.7,-0.22,signal,0
LONG,2021-11-07,1815.69,1666.86,,2021-11-28,1788.53,0.01,-27.53,-0.18,signal,2
SHORT,2021-11-28,1788.53,1944.06,,2021-12-19,1800.31,0.01,-12.15,-0.08,signal,2
LONG,2021-12-19,1800.31,1648.82,,2022-01-09,1794.95,0.01,-5.73,-0.04,signal,2
SHORT,2022-01-09,1794.95,1938.69,,2022-01-16,1817.35,0.01,-22.77,-0.16,signal,0
LONG,2022-01-16,1817.35,1677.01,,2022-01-30,1788.96,0.01,-28.76,-0.2,signal,1
SHORT,2022-01-30,1788.96,1936.91,,2022-02-06,1808.53,0.01,-19.94,-0.13,signal,0
LONG,2022-02-06,1808.53,1666.61,,2022-05-08,1837.35,0.01,28.45,0.2,stop,12
SHORT,2022-05-15,1814.33,1994.18,,2022-05-22,1847.95,0.01,-33.99,-0.19,signal,0
LONG,2022-05-22,1847.95,1662.81,,2022-06-19,1835.91,0.01,-12.41,-0.07,signal,3
SHORT,2022-06-19,1835.91,2015.65,,2022-12-04,1795.99,0.01,39.55,0.22,signal,23
LONG,2022-12-04,1795.99,1628.38,,2023-08-20,1889.66,0.01,93.3,0.56,signal,36
SHORT,2023-08-20,1889.66,2034.23,,2023-08-27,1914.86,0.01,-25.57,-0.18,signal,0
LONG,2023-08-27,1914.86,1771.43,,2023-09-10,1920.36,0.01,5.13,0.04,signal,1
SHORT,2023-09-10,1920.36,2056.89,,2023-10-15,1994.54,0.01,-74.55,-0.55,stop,4
