dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-06-18 13:00:00,392.0,386.39,403.52,2004-06-24 03:00:00,393.6,0.17,20.91,0.22,time,80
LONG,2004-06-28 02:00:00,402.3,399.74,407.41,2004-06-28 18:00:00,399.74,0.39,-114.08,-1.14,stop,15
LONG,2004-07-08 13:00:00,403.8,399.27,412.86,2004-07-14 06:00:00,403.3,0.21,-18.27,-0.19,time,80
LONG,2004-07-19 03:00:00,406.6,404.3,411.2,2004-07-19 17:00:00,404.3,0.42,-112.24,-1.16,stop,13
SHORT,2004-07-23 01:00:00,394.3,398.22,383.45,2004-07-28 14:00:00,386.8,0.24,171.12,1.82,time,80
LONG,2004-08-20 15:00:00,407.8,404.31,414.78,2004-08-24 16:00:00,404.31,0.28,-108.13,-1.11,stop,45
SHORT,2004-08-27 16:00:00,404.6,408.88,396.65,2004-08-31 16:00:00,408.88,0.23,-106.87,-1.09,stop,44
LONG,2004-09-10 14:00:00,401.1,397.27,406.96,2004-09-16 05:00:00,403.8,0.25,58.25,0.61,time,80
LONG,2004-09-17 19:00:00,405.8,402.1,413.2,2004-09-23 09:00:00,406.6,0.26,11.18,0.12,time,80
LONG,2004-09-29 15:00:00,413.3,410.02,419.25,2004-10-01 02:00:00,419.25,0.29,161.88,1.7,target,32
LONG,2004-10-08 15:00:00,422.3,416.43,434.03,2004-10-12 14:00:00,416.43,0.16,-99.77,-1.06,stop,38
SHORT,2004-10-13 11:00:00,412.2,415.89,404.51,2004-10-13 20:00:00,415.89,0.26,-105.65,-1.1,stop,8
LONG,2004-10-25 02:00:00,427.8,421.42,440.57,2004-10-28 12:00:00,421.42,0.15,-101.31,-1.06,stop,73
LONG,2004-11-05 17:00:00,432.1,425.62,444.16,2004-11-11 13:00:00,432.2,0.14,-3.78,-0.04,time,80
LONG,2004-11-11 18:00:00,434.8,431.51,441.39,2004-11-17 09:00:00,441.39,0.29,180.3,1.89,target,75
LONG,2004-11-29 17:00:00,452.5,448.66,460.47,2004-11-30 17:00:00,448.66,0.25,-105.16,-1.1,stop,22
LONG,2004-12-01 16:00:00,453.0,449.51,459.99,2004-12-02 16:00:00,449.51,0.27,-104.33,-1.11,stop,22
LONG,2004-12-06 02:00:00,455.8,451.76,463.28,2004-12-06 16:00:00,451.76,0.23,-101.41,-1.09,stop,13
SHORT,2004-12-07 23:00:00,450.3,454.89,441.11,2004-12-08 14:00:00,441.11,0.2,176.32,1.92,target,13
SHORT,2004-12-09 12:00:00,437.5,441.31,429.27,2004-12-15 02:00:00,435.2,0.25,48.25,0.51,time,80
LONG,2004-12-17 19:00:00,441.2,436.91,450.08,2004-12-23 09:00:00,441.1,0.22,-10.34,-0.11,time,80
SHORT,2005-01-07 15:00:00,422.8,424.86,418.38,2005-01-07 16:00:00,418.38,0.47,190.12,1.97,target,0
SHORT,2005-01-07 16:00:00,422.3,423.66,419.58,2005-01-07 17:00:00,419.58,0.72,169.18,1.73,target,0
LONG,2005-01-12 15:00:00,423.5,419.82,430.25,2005-01-19 08:00:00,422.3,0.27,-42.39,-0.43,time,80
SHORT,2005-01-28 17:00:00,424.3,427.46,418.58,2005-02-03 07:00:00,420.6,0.31,103.23,1.05,time,80
SHORT,2005-02-04 15:00:00,415.3,417.58,410.44,2005-02-08 12:00:00,410.44,0.44,197.46,1.97,target,41
SHORT,2005-02-09 15:00:00,410.6,413.03,406.04,2005-02-09 19:00:00,413.03,0.42,-117.62,-1.15,stop,3
LONG,2005-02-11 16:00:00,418.6,415.55,424.41,2005-02-14 17:00:00,424.41,0.33,179.39,1.78,target,22
LONG,2005-02-16 20:00:00,425.1,422.5,430.61,2005-02-22 08:00:00,430.61,0.4,205.43,1.97,target,44
LONG,2005-02-22 09:00:00,430.8,425.47,442.06,2005-02-25 21:00:00,434.8,0.19,68.97,0.68,time,80
LONG,2005-03-09 15:00:00,439.1,438.24,441.42,2005-03-09 18:00:00,441.42,1.24,241.59,2.27,target,2
LONG,2005-03-09 19:00:00,441.3,438.39,447.72,2005-03-15 10:00:00,440.5,0.37,-43.29,-0.4,time,80
SHORT,2005-03-21 10:00:00,435.3,439.57,426.77,2005-03-22 21:00:00,426.77,0.25,204.12,1.91,target,33
