dir,entry_time,entry,stop,target,exit_time,exit,lots,pnl,R,reason,bars
LONG,2004-06-17 19:30:00,388.3,386.79,391.32,2004-06-18 06:00:00,386.79,0.66,-124.21,-1.24,stop,18
LONG,2004-06-18 12:30:00,392.0,386.47,402.47,2004-06-22 09:00:00,392.6,0.17,3.91,0.04,time,80
LONG,2004-06-22 17:30:00,395.8,392.73,402.54,2004-06-23 16:00:00,392.73,0.32,-110.15,-1.12,stop,42
LONG,2004-06-25 13:30:00,402.6,399.85,408.69,2004-06-28 18:00:00,399.85,0.35,-109.06,-1.13,stop,52
LONG,2004-07-08 13:00:00,403.8,400.28,410.83,2004-07-12 13:00:00,407.3,0.27,84.51,0.89,time,80
LONG,2004-07-12 20:30:00,408.3,405.56,413.17,2004-07-13 02:30:00,405.56,0.35,-108.76,-1.14,stop,9
LONG,2004-07-19 03:00:00,406.6,404.38,411.03,2004-07-19 14:00:00,404.38,0.43,-111.22,-1.17,stop,21
SHORT,2004-07-22 19:00:00,395.5,397.43,390.15,2004-07-23 14:00:00,390.15,0.49,244.16,2.59,target,33
SHORT,2004-07-28 12:00:00,384.6,388.9,378.11,2004-07-28 18:00:00,388.9,0.22,-102.63,-1.09,stop,11
SHORT,2004-07-29 12:00:00,387.1,390.39,381.13,2004-07-30 14:30:00,390.39,0.29,-106.05,-1.11,stop,50
LONG,2004-08-03 18:30:00,391.8,389.23,397.55,2004-08-05 13:00:00,391.1,0.37,-39.59,-0.42,time,80
LONG,2004-08-05 21:00:00,391.5,389.87,396.57,2004-08-06 15:00:00,396.57,0.58,272.36,2.88,target,32
LONG,2004-08-09 19:30:00,399.8,396.84,406.63,2004-08-11 02:00:00,396.84,0.33,-110.01,-1.12,stop,55
SHORT,2004-08-11 15:30:00,393.5,396.78,386.34,2004-08-12 14:30:00,396.78,0.29,-105.86,-1.11,stop,43
LONG,2004-08-16 10:00:00,399.1,398.89,401.02,2004-08-16 10:30:00,398.89,4.55,-264.07,-2.76,stop,0
LONG,2004-08-16 10:30:00,399.3,398.79,401.22,2004-08-16 11:30:00,398.79,1.83,-160.71,-1.73,stop,1
LONG,2004-08-16 14:30:00,398.6,397.37,401.66,2004-08-16 15:00:00,401.66,0.74,199.18,2.19,target,0
LONG,2004-08-20 04:30:00,407.1,405.34,410.63,2004-08-20 11:00:00,405.34,0.52,-111.0,-1.21,stop,11
LONG,2004-08-20 15:00:00,407.8,404.33,414.74,2004-08-24 12:00:00,406.6,0.26,-40.82,-0.45,time,80
SHORT,2004-08-25 02:00:00,401.8,403.37,398.07,2004-08-25 03:00:00,403.37,0.58,-112.27,-1.24,stop,1
SHORT,2004-08-27 16:00:00,404.6,408.1,398.2,2004-08-30 16:30:00,408.1,0.25,-96.75,-1.11,stop,44
SHORT,2004-09-08 12:30:00,396.3,398.73,390.85,2004-09-08 17:00:00,398.73,0.37,-103.44,-1.15,stop,8
LONG,2004-09-10 15:00:00,401.6,398.5,407.51,2004-09-13 16:00:00,398.5,0.28,-97.23,-1.12,stop,45
LONG,2004-09-13 17:00:00,400.8,398.81,405.38,2004-09-14 14:30:00,405.38,0.44,185.43,2.12,target,40
LONG,2004-09-16 13:30:00,404.5,403.08,409.14,2004-09-16 15:30:00,403.08,0.63,-112.63,-1.26,stop,3
LONG,2004-09-21 21:30:00,409.3,407.24,413.41,2004-09-22 07:30:00,407.24,0.43,-104.37,-1.18,stop,17
LONG,2004-09-24 12:30:00,409.0,407.33,414.44,2004-09-24 15:30:00,407.33,0.52,-105.96,-1.22,stop,5
LONG,2004-09-28 02:30:00,408.8,407.82,411.67,2004-09-28 14:00:00,411.67,0.87,217.46,2.54,target,20
LONG,2004-09-29 14:30:00,411.8,410.13,415.14,2004-09-30 14:00:00,415.14,0.53,157.28,1.78,target,44
LONG,2004-09-30 14:00:00,414.3,410.8,420.99,2004-10-04 13:00:00,415.2,0.25,13.25,0.15,time,80
LONG,2004-10-06 16:00:00,418.6,416.27,422.96,2004-10-06 17:30:00,416.27,0.38,-102.58,-1.16,stop,2
LONG,2004-10-07 06:30:00,418.8,416.61,422.58,2004-10-08 14:30:00,422.58,0.4,136.59,1.56,target,56
LONG,2004-10-18 07:30:00,419.3,417.11,423.68,2004-10-18 18:00:00,417.11,0.41,-105.0,-1.17,stop,20
LONG,2004-10-25 01:30:00,427.8,421.19,439.52,2004-10-27 02:30:00,425.5,0.13,-34.71,-0.4,time,80
SHORT,2004-10-28 13:00:00,421.7,424.0,416.8,2004-10-28 15:00:00,424.0,0.38,-101.43,-1.16,stop,3
SHORT,2004-10-29 14:30:00,425.3,426.79,418.72,2004-10-29 18:00:00,426.79,0.59,-109.8,-1.25,stop,6
LONG,2004-11-10 10:00:00,433.8,432.34,436.42,2004-11-10 13:30:00,436.42,0.59,132.99,1.54,target,6
LONG,2004-11-16 04:00:00,437.1,435.07,440.27,2004-11-16 16:00:00,440.27,0.43,120.24,1.38,target,23
LONG,2004-11-17 02:30:00,438.6,437.77,441.76,2004-11-17 09:00:00,441.76,1.07,298.89,3.36,target,12
LONG,2004-11-22 10:00:00,446.1,445.54,447.52,2004-11-22 15:30:00,447.52,1.65,173.0,1.87,target,10
LONG,2004-11-23 13:30:00,448.7,446.33,453.74,2004-11-26 08:30:00,453.74,0.39,182.0,1.97,target,53
LONG,2004-11-26 09:00:00,453.3,446.76,467.27,2004-11-30 09:30:00,450.8,0.14,-40.18,-0.44,time,80
LONG,2004-12-01 15:30:00,452.1,449.61,457.38,2004-12-02 16:30:00,449.61,0.38,-108.71,-1.15,stop,47
SHORT,2004-12-07 15:30:00,452.3,453.77,449.97,2004-12-07 21:30:00,449.97,0.64,125.73,1.34,target,11
LONG,2004-12-15 05:30:00,436.2,434.31,439.67,2004-12-15 14:30:00,439.67,0.5,155.18,1.64,target,17
